id,type,text1,text2,text3,text4,notes
gauss,WEAPON,"用于过载目标护盾的远程武器。它所发射的重金属块只能被最厚的装甲挡下。

使用磁力线圈将一枚超重元素金属块加速到相对论速度。线圈的额定电流通常为几十亿安培，但有时也会超过一万亿安培。与大多数射弹武器不同，高斯炮在开火时产生的幅能极高。且装载该系统的炮塔转向速度也非常缓慢。

尽管武器本身非常有效，但拥有大型实弹槽位的典型舰船的反应堆输出功率通常都较低，限制了该武器的实用性。",,,,
hephag,WEAPON,"旨在用于击穿重甲的中程火炮。其粗野的压制火力也能一并击溃较弱的护盾发生器。

因极具毁灭性而被冠以上古火山之神的名号。其典型的重型炮塔内安装有两门 L/89 型号的炮管，并能以每分钟 240 发的射速来发射高爆破甲弹。而电磁退壳机、电动供弹器以及纳米制冷系统的存在，确保了它能持续开火很长一段时间。而这些低初速的锥形聚能装药弹头也具备极佳的穿透力。",,,,
mark9,WEAPON,"强大的中程自动加农炮，对抗护盾极为高效，也能利用大口径炮弹一并摧毁装甲薄弱的舰体。

众所周知，人之领 早期的战舰并不具备与现代水平相当的装甲保护。而 Mk.IX 型自动炮大概是从 人之领 最早的武器学院设计中得到的改良物。配有独特双重供弹机的两根炮管构成了该武器系统的核心。

据传，Mk.IX 自动炮的蓝图最早是从一艘被 Penelope's Star 重力井捕获的遗弃舰中寻获的。不幸的是，一名糟糕的无证估价师在草草看了一眼后就宣布该设计过时且无用。之后这份蓝图就被拍卖给了 Ko 联合实业 旗下的一个名叫 ""自由之星联盟"" 的小型雇佣军组织，并逐渐淡出人们的视野。

约数个星历年后，自由之星联盟终于制造出第一门原型炮并开始进行武器测试，但该武器在当时来说体积实在过于庞大，只能安装在最大的舰船上，其对装甲的破坏力仅能称为普通，而射程也并不突出。尽管如此，Mk.IX 自动炮仍用强悍的攻击力顽强地顶住了空谈者的诋毁。而在第二次测试中，其展现出的对护盾压倒性的破坏力，让反对者们彻底闭嘴。

该测试结果很快就泄露了。Mk.IX 自动炮的蓝图目前已是随处可见，意味着其早已被投入大批量生产以满足全星域的需求。",,,,
mjolnir,WEAPON,"能持续产生可观伤害，且具备杰出 EMP 破坏力的中程加农炮。

作为一种非常先进的设计，与传统意义上的加农炮不同，雷神炮采用独特的磁重力炮弹发射器，通过给每枚炮弹的微电容充满足够的能量来在局部形成一个微型奇点，而配合内置的重力场则能摧毁周围的一切并释放令人恐惧的电磁脉冲，以使目标武器与系统瘫痪。",,,,
multineedler,WEAPON,"以较小的散布持续倾泻巨量针刺弹，如同冰雹般呼啸而过的弹幕，将撕裂它前进道路上的一切。

风暴针刺是一种发射小型无壳箭弹的发射系统，由于其散热需求已经达到中型冷却系统的极限，因此无壳弹武器设计师为该武器加装了主动型纳米冷却系统，以及多根磁化膛线炮管与自动化操作系统。如今这种能不断从弹药库里向炮塔提供弹药的智能化供弹机，让它能在幅能容量充足时进行不间断射击。

其射程与射速不仅会对敌方护盾造成巨大压力，也能作为临时点防武器来应对威胁。",,,,
hellbore,WEAPON,"发射低速等离子充能弹头的重型加农炮。不仅能有效毁灭装甲。也能一并蒸发周围剩下的所有船体结构。

虽拥有令人恐惧的破坏力，但因制造能安全发射巨大成型的高爆弹头的炮管要求的工艺极度复杂，而导致其很少被使用。但该炮弹击中目标船体时，因诺依曼效应而使弹头会推动高温液态金属射流击穿装甲，并蒸发小片区域，造成船体破损，而泄漏的空气与破片也会让重创内部结构。",,,,
reaper,WEAPON,"威力强大且具备强力引擎的单发非制导鱼雷。

经典的打击武器，每一枚死神鱼雷都是带有装甲和强力推进器并携带浓缩反物质催化核弹头的无制导运载系统。人们普遍猜测它的物理学原理应该早已被 人之领 的权威机构列为高度机密，才会导致这款结构紧凑的毁灭装置背后的科学原理于公众而言知之甚少。如今唯一被广为人知的是，仅凭三到四枚未被点防御系统拦截的死神鱼雷，就足以毁灭一艘最大型的主力舰。",,,,
atropos,WEAPON,"这种先进的制导鱼雷因弹头载荷较小，所以才配备了先进的制导系统与更多的用于机动系统消耗的燃料。

作为一种长程制导鱼雷，因每个发射架均拥有两枚可依次发射的鱼雷，而让那些喜欢打击武器的舰长们有了更大的选择余地。由于核弹头会产生能干扰制导系统运行的重子干涉，而将弹头内爆炸物替换成体积更小但威力不减的化学炸弹。",,,,
atropos_single,WEAPON,"这种先进的制导鱼雷因弹头载荷较小，所以才配备了先进的制导系统与更多的用于机动系统消耗的燃料。

作为一种长程制导鱼雷，因每个发射架均拥有两枚可依次发射的鱼雷，而让那些喜欢打击武器的舰长们有了更大的选择余地。由于核弹头会产生能干扰制导系统运行的重子干涉，而将弹头内爆炸物替换成体积更小但威力不减的化学炸弹。

这个发射装置仅携带一枚鱼雷。",,,,
swarmer,WEAPON,"善于摧毁或拦截敌方战机的短程导弹发射器。

采用简单的红外制导系统来获得强大的追踪能力，且微型化学推进器也能提供非凡的机动性。因经过数世纪的实战应用而磨砺进化后的目标算法让蜂群导弹能更精确的追踪目标，且从不失手。",,,,
swarmer_fighter,WEAPON,善于拦截并摧毁敌方战机的短程导弹发射器。,,,,
annihilator,WEAPON,"能一次性发射大量且覆盖面积较广的非制导火箭。通常用于敌舰护盾下线时的间隙来借势撕裂目标装甲。

这种小型发射舱通过在一轮齐射中以极短的间隔发射五枚中远程火箭弹，以提高命中率。因火箭体积小且无制导系统，因此额外的空间则被更大的弹头、改进的推进系统以及更厚的装甲所占据。

因多发火箭齐射命中率很高，所以在对付大型目标时表现良好。而在鱼雷攻击前，往往通过利用一轮火箭齐射来吸引点防系统，来为之后的打击火力提供掩护。值得注意的是，歼灭者火箭炮在齐射之后需花费数秒时间来重新装填。",,,,
annihilator_fighter,WEAPON,能一次投射一定量非制导火箭。通常用于敌舰护盾下线时的间隙来借势撕裂目标装甲。,,,,
annihilatorpod,WEAPON,"能发射一连串的非制导火箭，不仅能有效打击目标装甲，且由于不会产生幅能，使它能持续给敌方施加压制火力。

歼灭者火箭发射器使用与小型发射舱同样的火箭弹，因火箭体积小且无制导系统，因此额外的空间则被更大的弹头、改进的推进系统以及更厚的装甲所占据。

由于命中率较高，所以在对付大型目标时表现良好。而在鱼雷攻击前，往往通过利用一轮火箭齐射来吸引点防系统，以为之后的打击火力提供掩护。",,,,
heatseeker,WEAPON,"专注于锁定目标引擎并试图以强大的电磁脉冲将其瘫痪。其配备的自动装填系统，使它能在拉锯战中发挥出更大的作用。

火蛇导弹是一种拥有两种设计考虑的特殊武器，其一是先进的猎歼机制可以轻松锁定敌舰引擎，同时也能主动规避点防御武器等潜在威胁。

其次是火蛇所用的特殊弹头，与单纯用于摧毁目标的动能或高爆弹头不同，该弹头通过激发强大的定向电磁场，尤其是在没有护盾保护的引擎或船体组件旁爆发时，即可将其电子设备瞬间瘫痪，并使目标在被修复前动弹不得。",,,,
salamanderpod,WEAPON,"专注于锁定目标引擎并试图以强大的电磁脉冲将其瘫痪。其配备的自动装填系统，使它能在拉锯战中发挥出更大的作用。

使用外挂发射舱取代了常见的导弹发射架，能同时发射两枚导弹。自动装填系统能迅速完成下一轮两发导弹的抽取，挂载和发射准备工作。

火蛇导弹是一种拥有两种设计考虑的特殊武器，其一是先进的猎歼机制可以轻松锁定敌舰引擎，同时也能主动规避点防御武器等潜在威胁。

其次是火蛇所用的特殊弹头，与单纯用于摧毁目标的动能或高爆弹头不同，该弹头通过激发强大的定向电磁场，尤其是在没有护盾保护的引擎或船体组件旁爆发时，即可将其电子设备瞬间瘫痪，并使目标在被修复前动弹不得。",,,,
harpoon,WEAPON,"发射大当量中程导弹的发射装置。旨在摧毁失去护盾保护的舰船。

这种三联装发射架所搭载的鱼叉导弹，因其先进的推进系统而使一枚大型弹头能以亚光速击中敌舰。以牺牲机动性为代价而换取更高的速度与更大的弹头，而使它成为了星域中应用最为广泛的非打击型武器之一。其卓越的破坏力仅凭一发就足以给护卫舰造成致命打击。

该发射架上装载有数枚鱼叉导弹。",,,,
harpoonpod,WEAPON,"中程高载荷制导导弹发射舱。旨在快速摧毁失去护盾保护的舰船。

通过以一种外挂发射架代替了常见的发射系统，而使其能在短时间内连续发射多枚导弹。内置的自动供弹系统也会在短暂等待后开始重新装填，来为下一轮齐射做好准备。

与三联装发射架所搭载的鱼叉导弹相同，因其先进的推进系统而使一枚大型弹头能以亚光速击中敌舰。以牺牲机动性为代价而换取更高的速度与更大的弹头，而使它成为了星域中应用最为广泛的非打击型武器之一。其卓越的破坏力不仅能轻松摧毁护盾下线的战舰，且仅凭一发就足以给护卫舰造成致命打击。
",,,,
harpoon_single,WEAPON,"发射大当量中程导弹的发射装置。旨在摧毁失去护盾保护的舰船。

这种三联装发射架所搭载的鱼叉导弹，因其先进的推进系统而使一枚大型弹头能以亚光速击中敌舰。以牺牲机动性为代价而换取更高的速度与更大的弹头，而使它成为了星域中应用最为广泛的非打击型武器之一。其卓越的破坏力仅凭一发就足以给护卫舰造成致命打击。

这个发射架仅携带一枚导弹，但凹入船体的战斗级弹仓中还携带有一枚替换弹。",,,,
sabot,WEAPON,"能以二阶段推进的方式发射一大簇高速动能穿刺弹头，这些弹头不仅能极大地削弱护盾，在击中船体时也能产生不俗的 EMP 效果。最致命的是，普通点防武器对赛博来说几乎毫无作用。

作为近程二级动能武器。当一级制导导弹携带着二级动能弹头到达攻击距离时，内置计算机将会顺势点燃动能弹头的推进器，正如其名，赛博所使用的二级弹头是由贫铀之类的高密度金属所制成的尾翼稳定脱壳穿甲弹。

虽非常适合用于打击敌舰护盾并使其反应堆超载，但由于如今的标准装甲均有间隔，如果目标及时关闭护盾并以这些致密的装甲来承受穿刺弹头的打击时，其造成的破坏力将大幅降低。

该武器系统装载有数枚赛博导弹。",,,,
sabotpod,WEAPON,"能以二阶段推进的方式发射一大簇高速动能穿刺弹头，这些弹头不仅能极大地削弱护盾，在击中船体时也能产生不俗的 EMP 效果。最致命的是，普通点防武器对赛博来说几乎毫无作用。

通过以一种外挂发射架代替了常见的发射系统，而使其能在短时间内连续发射两枚导弹。内置的自动供弹系统也会在短暂等待后开始重新装填，来为下一轮齐射做好准备。

作为近程二级动能武器。当一级制导导弹携带着二级动能弹头到达攻击距离时，内置计算机将会顺势点燃动能弹头的推进器，正如其名，赛博所使用的二级弹头是由贫铀之类的高密度金属所制成的尾翼稳定脱壳穿甲弹。

虽非常适合用于打击敌舰护盾并使其反应堆超载，但由于如今的标准装甲均有间隔，如果目标及时关闭护盾并以这些致密的装甲来承受穿刺弹头的打击时，其造成的破坏力将大幅降低。

这个武器系统的特点是一个就挂载了数枚导弹的发射架。",,,,
sabot_single,WEAPON,"能以二阶段推进的方式发射一大簇高速动能穿刺弹头，这些弹头不仅能极大地削弱护盾，在击中船体时也能产生不俗的 EMP 效果。最致命的是，普通点防武器对赛博来说几乎毫无作用。

作为近程二级动能武器。当一级制导导弹携带着二级动能弹头到达攻击距离时，内置计算机将会顺势点燃动能弹头的推进器，正如其名，赛博所使用的二级弹头是由贫铀之类的高密度金属所制成的尾翼稳定脱壳穿甲弹。

虽非常适合用于打击敌舰护盾并使其反应堆超载，但由于如今的标准装甲均有间隔，如果目标及时关闭护盾并以这些致密的装甲来承受穿刺弹头的打击时，其造成的破坏力将大幅降低。

这个发射架仅携带一枚导弹，但凹入船体的战斗级弹仓中还携带有一枚替换弹。",,,,
sabot_fighter,WEAPON,"能以二阶段推进的方式发射一大簇高速动能穿刺弹头，这些弹头不仅能极大地削弱护盾，在击中船体时也能产生不俗的 EMP 效果。最致命的是，普通点防武器对赛博来说几乎毫无作用。

作为近程二级动能武器。当一级制导导弹携带着二级动能弹头到达攻击距离时，内置计算机将会顺势点燃动能弹头的推进器，正如其名，赛博所使用的二级弹头是由贫铀之类的高密度金属所制成的尾翼稳定脱壳穿甲弹。

虽非常适合用于打击敌舰护盾并使其反应堆超载，但由于如今的标准装甲均有间隔，如果目标及时关闭护盾并以这些致密的装甲来承受穿刺弹头的打击时，其造成的破坏力将大幅降低。

这个发射架仅携带一枚导弹。",,,,
breach,WEAPON,防护得当、追踪性能良好，且搭载特制小型反装甲弹头的高速导弹。,,,,
breachpod,WEAPON,防护得当、追踪性能良好，且搭载特制小型反装甲弹头的高速导弹。,,,,
pilum,WEAPON,"适用于给后方作战舰艇提供远程火力支援的二级导弹。由于其二阶段能瞬间加速，使它有更高的几率越过敌舰的点防火力。

作为一种技术成熟的武器系统，短矛导弹显然是那些谨慎舰长们进行远程打击的首选。弹头由一个能在主动护盾上造成点状故障的装置和一个 EMP 发生器组成，目的是先给护盾打开缺口并对目标舰体释放一定量的电弧打击。由于导弹内巨大的燃料舱所带来的诸多限制，让这两种装置并不是特别有效。

内置有自动装填系统，使它在拉锯战中也能发挥一定的作用。",,,,
phasecl,WEAPON,投射一些低速的近程炸弹，具备优秀的爆炸半径与摆脱点防火力的优势。不仅能有效摧毁战机联队，也能破坏战舰装甲。,,,,
phasecl_bomber,WEAPON,投射一些低速的近程炸弹，具备优秀的爆炸半径与摆脱点防火力的优势。不仅能有效摧毁战机联队，也能破坏战舰装甲。,,,,
typhoon,WEAPON,这种简单粗暴的武器，由发射管与携带五枚死神鱼雷的弹匣所组成。,,,,
cyclone,WEAPON,"能逐一发射两枚死神鱼雷的双管发射器。可对那些机动性较差的战舰予以毁灭性打击。

这种庞大的武器系统由两根鱼雷发射管与一个能容纳 20 枚鱼雷的大型弹药库组成。依靠其火控系统，它可在一轮内逐一发射两枚死神鱼雷，之后自动填弹装置将在数秒内重装完毕。",,,,
hurricane,WEAPON,"能发射在接近目标时分裂成多个小型高爆弹头的导弹。可轻松重创那些失去护盾保护的大型舰船。

飓风 MIRV 发射系统是扩展纪元所设计出的先进武器，旨在发射一种能投射多枚小型高爆制导弹头的动力运载舱。这些拥有锥形装药的小导弹不仅能有效破坏装甲，其内置的弹道计算机可确保所有弹头均可命中目标，且破坏力也足以威胁所有类型的舰船。而整合这些特点的飓风导弹使其成为了战场上闻风丧胆的杀戮利器，而炮手只会在接到彻底摧毁目标的命令时才会发射飓风 MIRV。",,,,
mininglaser,WEAPON,"用于拦截导弹与战机的廉价多用途激光。与众不同的构造使它拥有比大多数点防武器更优秀的射程。

Mk.I 钻探激光炮为了适应战斗而进行了氟气增益介质改装，且对原本的陨石追踪系统加装了 670 nm 跟踪光束以锁定来袭导弹。这种武器往往无法威胁到大型舰船。",,,,
pdlaser,WEAPON,"用于拦截导弹与战机的小型激光武器。以极佳的追踪性能、良好的破坏力以及较短的射程而被人们所熟知。

简单可靠以及低幅能输出使得 PD 激光炮成为了一种应用较为广泛的点防武器。由二氧化碳增益介质与近程标记激光所组成，因这种简单的一级透镜无需移动组件，因此在没有维护程序的情况下也能长时间正常运作。不过较低的伤害使得 ""希望那是哑弹"" 的祈祷词被广为人知。",,,,
taclaser,WEAPON,"非常灵活的标准战斗激光炮，在中远距离均有不错的表现。但对付无护盾保护的目标时效果最佳。

战术激光是射束武器领域的代表性作品，因其维护成本低、用途广泛且易于制造，而成为了星域激光武器中值得信赖的选择。由一种能发射波长为 670 nm 的标准二氧化碳介质增益激光器与三组透镜组件构成，因此非常适合作为小型战舰上的支援武器，特别是在长期交战中表现最好。",,,,
ioncannon,WEAPON,"能连续发射电磁脉冲以快速瘫痪敌舰系统与引擎的中程能量炮。命中时还能产生攻击着弹点附近系统的电弧。

离子炮的非标准增益介质能将重子物质在发射器中高度离子化，当离子团击中目标时，将会产生局部电磁场，并将周围包括传感器、燃料点火器、定位模块、计算机在内的所有电子设备带来灭顶之灾。尽管该武器会熔断某些电路，对护盾产生轻微应变，但所造成的永久性伤害几乎可以忽略不计，所以很少有人会在自己的船上装满这些玩意。",,,,
ioncannon_fighter,WEAPON,能连续发射电磁脉冲以快速瘫痪敌舰系统与引擎，开火速率较低的中程能量炮。命中时还能产生攻击着弹点附近系统的电弧。,,,,
irpulse,WEAPON,"幅能效率较高的红外激光脉冲，能长期发射中程能量束来压制敌舰。

与大多数激光武器相似，IR 脉冲激光采用标准的二氧化碳增益介质来发射 11 微米波段的脉冲束。且持续供给能源的 Q开关 足以支撑到 IR 脉冲把目标熔化，尽管比传统激光炮更为有效，但功耗也会更多。常被应用于战斗机或护卫舰之上，以便利用良好的机动性来弥补其射程上的不足。",,,,
irpulse_fighter,WEAPON,幅能效率较高，但开火速率偏低的红外激光脉冲，能长时间发射中程能量束来压制敌舰。,,,,
lrpdlaser,WEAPON,"用于拦截导弹与战机的中程激光武器，虽能长时间开火但威力颇低。

通过加装额外透镜来解决标准二氧化碳激光器在工作时会散射的问题，由于仍发射波长为 11 微米的激光，而导致射程加长的它因较低的输出功率而大大削弱了伤害。其唯一的优势就是可以用来对付赛博这种特殊的反护盾导弹，毕竟标准点防武器可没有那么远的射程来拦截这些狡猾的家伙。",,,,
pdburst,WEAPON,"拥有内置电容的瞬发 PD 激光炮可在短时间内以极快的速度对目标予以连续打击。只要给予足够的充能时间，它就能成为拦截效率最高的点防武器之一。

由 PD 激光炮改进而来，利用 Q开关 与脉冲泵浦方式，来确保能量按预设的间隔达到峰值时，供给到钛蓝宝石增益介质。其结果就是，这种每隔数秒就能开火一次的武器，在拦截小型目标时效率极佳。且极低的功耗，甚至能让一些战机动力核心也能承受其射击负荷。",,,,
pdburst_fighter,WEAPON,"拥有内置电容的瞬发 PD 激光炮可在短时间内以极快的速度对目标予以连续打击。应安装要求而缩小了尺寸，使它的电容器比标准版更小，而导致充能速率降低。

由 PD 激光炮改进而来，利用 Q开关 与脉冲泵浦方式，来确保能量按预设的间隔达到峰值时，供给到钛蓝宝石增益介质。其结果就是，这种每隔数秒就能开火一次的武器，在拦截小型目标时效率极佳。且极低的功耗，甚至能让一些战机动力核心也能承受其射击负荷。",,,,
