id,type,text1,text2,text3,text4,notes
flak,WEAPON,"A defensive weapon system that fires shrapnel-filled shells equipped with a proximity fuse for maximum effect against fighters and missiles.

The rising prominence of small, cheap fighter craft, especially in the strike role, led to a wider deployment of this weapons system in the heady days pre-Collapse. Fires ballistic rounds fitted with a proximity fuse. The resulting explosion sends a hail of flechettes in a wide area with a respectable kill radius versus standard targets. Newer models feature a fire control system hardwired into a Mark VI Predictor.",,,,
heavymg,WEAPON,"A larger cousin of the ubiquitous rapid-fire machine gun category of weapons, the Heavy MG is effective against both small and medium-sized targets.

A workhorse of patrol craft across the Sector, this weapons system features reliable blowback firing mechanism said to date back to the days of Old Earth. Safety features include a positive cook-off safety for open bolt clearing and double ram prevention. The weapon is typically mounted on a relatively heavy base to help absorb recoil during prolonged bursts of fire. Calibers vary within a moderate range and ammunition is easily fabricated by standard forges. 

The heavier projectiles do not shatter upon impact like lighter ammunition and present a credible threat to frigate-class vessels. Extremely accurate, though slower-firing than a vulcan cannon. Excels in a point-defense role.",,,,
arbalest,WEAPON,"An antiquated weapon design with high per-shot damage for its size. The kinetic shells are especially effective versus enemy shields.

Heavier patrol craft at the time of the Collapse were mostly fitted with the Arbalest Mk I weapons platform; this likely explains why the Arbalest is claimed to be among the most scavenged ship weapon systems in the Sector. The primitive cooling system and a lack of an autoejector hamper rate of fire and reliability. 

The only redeeming feature is the ubiquity of blueprints for the arbalest round, which is effective at bringing down enemy shields. The effectiveness of the shells is poorly understood, and is suspected to lie in the unintended electromagnetic properties of the shell jackets.",,,,
dualflak,WEAPON,"An upgraded, viciously effective dual mount of the Flak Cannon. Nicknamed ""The Widowmaker"" for its ability to tear apart incoming fighters.

Just like the standard flak cannon, this weapon devastates smaller fighter and missile targets, firing two proximity fuse fitted rounds. Shaped dispersal ensures dual detonation and a higher kill radius. Fighter craft are rarely launched against ships that are fitted with this weapon system, out of fear of what it can do. Excellent rate of fire and turret turn rate.",,,,
chaingun,WEAPON,"The GA-X Industries Mk. II chaingun excels at close-range fighting, where accuracy is less important than overall damage and volume of fire.

A 'melee' captain's favorite tool, the Assault Chaingun delivers high-explosive shaped charge rounds on target at nearly 400 shells per minute. Features electrically driven feed and ejector systems and an advanced nano cooling unit built right into the barrel. 

The only drawback is a heavier turret profile which, coupled with the lack of the accompanying governor blueprint, is typically mounted on incompatible rotators giving rise to unexpectedly low turret rotation speeds.",,,,
heavymauler,WEAPON,"An advanced weapon system designed to punch through armor plating at long-range. Has a low sustained rate of fire but high per-burst damage.

A brutal weapon, the heavy mauler is designed to engage targets at medium to long-range. At its core, the weapon is an autocannon with a nano-cooling system and an external ejection port. However, unlike normal autocannons, the heavy mauler is distinguished by an antimatter barrel charger fed by trivial amounts of standard starship fuel.

When leaving the firing chamber, each shell ogive is charged with a field of antiprotons which hovers 10-20 nanometers in front of the shell, stabilized by a baryon coating. On impact with a target, this antiproton ""sheath"" loses structural integrity and the resulting reaction does further damage. Given the fact that shells already deliver impressive destructive force to the target, the combined reaction makes the heavy mauler particularly effective versus armored targets.",,,,
heavyac,WEAPON,"A triple-barreled cannon that fires a burst of standardized shells at medium range. It is most effective versus enemy shields.

Medium caliber, triple-barreled autocannon, typically deployed with medium-bore ammunition. Electrically primed firing fuses ensure precise fire counts. A great fire support weapon, it is typically fitted on destroyer and cruiser class ships. A battery of heavy autocannons with a proper firing solution may pose a serious threat to capital ships. 

Additional mass necessity to accommodate the complex autoloader and cooling systems results in a very poor turn rate.",,,,
hveldriver,WEAPON,"A specialized weapon designed to overload and disable enemy systems from afar. The high-velocity duranium slug is also effective against shields.

The hypervelocity driver uses a 2-stage process to accelerate a duranium slug with a magnetized iron-cobalt core to a very high velocity. A chemical charge accelerates the slug first, then the magnetic coils take over, accelerating the slug further and stabilizing its flight. The slug is highly charged by the time it reaches the target, generating a significant amount of electromagnetic interference on the ship it impacts.",,,,
heavyneedler,WEAPON,"A dual-mount of the Light Needler with a heavier base, this advanced weapon system is capable of quickly overwhelming shield projectors.

The Heavy Needler is an advanced weapon that fires small flechette rounds. An improvement upon the Light Needler, it features better feed and cooling systems, which enable an even greater rate of fire. Projectiles are identical to the light version: caseless ammunition tungsten-jacketed flechettes.",,,,
gauss,WEAPON,"A long-range weapon designed to overload the target's shields. The heavy kinetic slug it fires is also effective against all but the heaviest armor.

Uses magnetic coils to accelerate a large ultra-dense composite slug to relativistic speeds. Usually rated at the hundreds of giga-amperes range, rarely exceeding one tera-ampere. Unlike most ballistic weapons, has a very high flux load when fired. Turrets mounted with this system have an extremely poor turn rate. 

Very effective weapon whose usefulness is limited by the low reactor power of ships that typically feature large ballistic weapon mounts. ",,,,
hephag,WEAPON,"A medium-range gun designed to punch through heavy armor. The raw damage output also enables it to overwhelm weaker shield emitters.

A truly devastating weapon platform, named for an archaic god of volcanoes. A typical turret mount features two L/89 barrels that trade off firing armor-destroying rounds at 240 RPM. An electromagnetic ejector, powered feed system and nanocoolants allow the weapon to fire for extended time periods. The shaped charge shells have low muzzle velocity and great armor penetrating power. ",,,,
mark9,WEAPON,"An imposing medium range autocannon, most effective versus shields. Also obliterates unarmored hulls with a large volume of heavy caliber projectiles.

It is known that warships of the early epoch of the Domain lacked contemporary levels of armor protection. A weapon with a name like the Mark IX Autocannon was probably a refinement of the earliest schools of weapons engineering in the Domain. Two barrels combined with a unique double-loader system form the core of the weapon system.

The Mark IX blueprints were first re-discovered in the Sector from a drifting derelict captured in the gravity well of Penelope's Star. After a hasty examination by an unqualified appraiser, the design was declared obsolete. The blueprint was auctioned off to a small mercenary organization known as the Free Star Combine, a militant subsidiary of the Ko Combine, and forgotten. 

Cycles later, the Free Star Combine finally built a prototype and begun weapon trials. The weapon was deemed too huge, difficult to mount in all but the largest craft, mediocre at best versus armored targets, and its range was anything but extraordinary. Nonetheless, the Mark IX stubbornly refused to be explained away by the theorists, as its raw damage output is impressive. These naysayers were quieted even further when secondary trials showed how utterly devastating the Mark IX is to shield generators.

The results of these trials did not remain secret for long, and the availability of the now common blueprints meant that the Mark IX was quickly manufactured to meet the demand in the Sector.",,,,
mjolnir,WEAPON,"A medium range cannon that delivers superior damage over time and also has a significant EMP payload.

A very advanced design, the Mjolnir is technically a magneto-gravitic shell projector, not a standard cannon. The micro capacitors within each shell are able to deliver enough energy to create a small-scale localized singularity. The built-in gravitic lens devastates all nearby matter, and creates the dreaded electromagnetic pulse (EMP) effect, disabling the target's weapons and systems. ",,,,
multineedler,WEAPON,"Fires multitudes of needles in a tight arc, creating a withering hail of projectiles that rip apart anything in their path. 

The Storm Needler is a flechette weapon, which fires caseless small-bore ammunition. Having reached the practical limits of medium sized cooling systems, the designers of caseless weapons blazed a path into the large weapon category with the Storm Needler's advanced nano coolant recyclers, per-barrel magnetized rifling and automated operation. An intelligent autoloader unpacks and loads just the right amount of ammunition from the magazines, allowing for nonstop operation provided adequate flux capacity.

The good range and speed of projectiles put a great strain on enemy shields, and can also be used effectively versus point defense threats.",,,,
hellbore,WEAPON,"A huge cannon which fires slow-moving plasma-charged projectiles. Rounds are highly effective versus armor and obliterate any hull structure left underneath.

A feared weapon platform, rarely deployed due to the complexity involved in manufacturing a built-up barrel that can safely fire enormous high-explosive shaped charge rounds. When such a shell impacts a target, the Neumann effect causes the warhead to propel a jet of molten metal into the target's armor, vaporizing a small area, causing hull breaches, depressurization, and extensive internal damage from the spall.",,,,
reaper,WEAPON,"A single unguided torpedo of devastating yield with a powerful on-board engine.

The quintessential strike weapon, a single Reaper torpedo is a large self-propelled, armored, unguided delivery system for an enriched AM-catalyzed nuclear warhead. The science behind the surprisingly compact detonator is poorly understood in the Sector though widely speculated to be based on physics classified as secret by Domain authority. What is known is that three or four of these slipping through PD arcs are enough to destroy even the largest capital ship.",,,,
atropos,WEAPON,"A rack of advanced guided torpedoes. The payload is smaller than usual to make room for the advanced guidance package and maneuvering system's reaction mass.

The Atropos torpedo is a large guided torpedo with an extended range. Each rack mounts two torpedoes which can be fired separately, allowing strike captains maximum flexibility. The AM-catalyzed nuclear warhead typically used in torpedo warheads is missing here as baryonic interference from the detonator would foul the guidance systems. It is replaced by a smaller, yet still potent chemical charge.",,,,
atropos_single,WEAPON,"A single advanced, guided torpedo. The payload is smaller than usual to make room for the advanced guidance package and maneuvering system's reaction mass.

The Atropos torpedo is a large guided torpedo with an extended range. The AM-catalyzed nuclear warhead typically used in torpedo warheads is missing here as baryonic interference from the detonator would foul the guidance systems. It is replaced by a smaller, yet still potent chemical charge.

This mount features only a single torpedo.",,,,
swarmer,WEAPON,"A short range guided missile launcher. The missiles are designed to intercept and destroy enemy fighters.

Launches bursts of small missiles. A simple infrared system provides effective tracking while chemical microthrusters provide exceptional maneuverability. Evolutionary targeting algorithms honed over centuries of real-world application allow the missiles to lead the target - they rarely miss and are very hard to avoid.",,,,
swarmer_fighter,WEAPON,A short range guided missile launcher. The missiles are designed to intercept and destroy enemy fighters.,,,,
annihilator,WEAPON,"Fires a spread of unguided rockets that cover a wide arc. Typically used to strip away enemy armor once shields are down.

Medium to long-range rockets launched from a small pod that fires five missiles per salvo in a narrow spread to improve the odds of hitting. Rockets are small and unguided, with the extra space being taken up by a larger warhead and improved propulsion systems, as well as thicker armor. 

Performs well against larger targets due to the higher chance of striking with multiple rockets. A rocket attack is often used as a screen before a torpedo strike to reduce the effectiveness of Point Defense systems. Takes several seconds to reload after a salvo.",,,,
annihilator_fighter,WEAPON,Fires a salvo of unguided rockets. Typically used to strip away enemy armor once shields are down.,,,,
annihilatorpod,WEAPON,"Fires a stream of unguided rockets. Useful for dealing with enemy armor, or - due to having no flux cost - applying sustained pressure.

Features the same medium to long-range rockets found on smaller launchers. Rockets are unguided, with the extra space being taken up by a larger warhead and improved propulsion systems, as well as thicker armor. 

Performs well against larger targets due to the higher chance of striking with multiple rockets. A rocket attack is often used as a screen before a torpedo strike to reduce the effectiveness of Point Defense systems. ",,,,
heatseeker,WEAPON,"Homes in on the target's engines and disables them with a powerful EMP burst. A combat-rated autoloader system ensures usefulness in protracted engagements.

The Salamander missile is a specialized weapon with two design considerations. The first is an extremely advanced tracking/targeting mechanism which enables it to home in on enemy engines, whilst avoiding all other potential impact points and Point Defense threats. 

The second is a special warhead design which, instead of attempting to destroy the target with kinetic or explosive force, generates targeted electromagnetic fields of high magnitude. When such a field is created in the proximity of unshielded engines and hull components, it will quickly knock out all their electronics, rendering them useless until repaired.",,,,
salamanderpod,WEAPON,"Homes in on the target's engines and disables them with a powerful EMP burst. A combat-rated autoloader system ensures usefulness in protracted engagements.

An externally mounted pod replaces the more common missile racks and allows two missiles to be fired almost simultaneously. An autoloader extracts, arms and primes the next salvo of two missiles after a short wait.

The Salamander missile is a specialized weapon with two design considerations. The first is an extremely advanced tracking/targeting mechanism which enables it to home in on enemy engines, whilst avoiding all other potential impact points and Point Defense threats. 

The second is a special warhead design which, instead of attempting to destroy the target with kinetic or explosive force, generates targeted electromagnetic fields of high magnitude. When such a field is created in the proximity of unshielded engines and hull components, it will quickly knock out all their electronics, rendering them useless until repaired.",,,,
harpoon,WEAPON,"Medium range, high payload guided missile rack. Devastating against ships with downed shields.

Three-racked medium range missiles. An excellent propulsion system delivers a large warhead to the target at sublight speeds. Sacrificing maneuverability for speed and warhead size, the medium range missile is one of the highest yield non strike weapons employed in the Sector. One hit is almost fatal to frigate-sized ships.

This weapon system features a firing rack that houses multiple missiles.",,,,
harpoonpod,WEAPON,"Medium range, high payload guided missile pod. Devastating against ships with downed shields.

An externally mounted pod replaces the more common missile racks and allows multiple missiles to be fired almost simultaneously. An autoloader extracts, arms and primes the next salvo of missiles after a short wait.

These medium range missiles are identical to the ones fired from single or triple racks, and are a great way to finish off a ship with downed shields. An excellent propulsion system delivers a large warhead to the target at sublight speeds. Sacrificing maneuverability for speed and warhead size, the medium range missile is one of the highest yield non strike weapons employed in the sector. One hit is almost fatal to frigate-sized ships.
",,,,
harpoon_single,WEAPON,"Medium range, high payload guided missile. Devastating against ships with downed shields.

An excellent propulsion system delivers a large warhead to the target at sublight speeds. Sacrificing maneuverability for speed and warhead size, the medium range missile is one of the highest yield non strike weapons employed in the sector. One hit is almost fatal to frigate-sized ships.

This mount can only launch one missile at a time, and carries a single replacement in a combat-rated magazine recessed into the hull.",,,,
sabot,WEAPON,"Fires a 2nd-stage spread of high-velocity kinetic penetrators when in range. Heavy damage to shields, and massive EMP damage when impacting on enemy hull or armor. Difficult to stop with PD.

Sabot-class class missiles are short-range, two-stage KE weapons. A guided missile first stage projects a secondary assembly to within striking distance of a shielded target. The on-board targeting computer then ignites the propellant for a KE penetrator. This 'sabot', as it is commonly called, is typically a narrow, laterally stabilized projectile manufactured from an ultra dense material such as depleted uranium.

Excellent at bringing down enemy shields and causing an overload. Standard ship armor is spaced and thus the sabot deals more manageable damage if shields are lowered in time to receive the impact on armor.

This weapon system features a firing rack that houses multiple missiles.",,,,
sabotpod,WEAPON,"Fires a 2nd-stage spread of high-velocity kinetic penetrators when in range. Heavy damage to shields, and massive EMP damage when impacting on enemy hull or armor. Difficult to stop with PD.

The pod replaces the more common missile racks and allows multiple missiles to be fired almost simultaneously. An autoloader extracts, arms and primes the next salvo of missiles after a short delay.

Sabot-class class missiles are short-range, two-stage KE weapons. A guided missile first stage projects a secondary assembly to within striking distance of a shielded target. The on-board targeting computer then ignites the propellant for a KE penetrator. This 'sabot', as it is commonly called, is typically a narrow, laterally stabilized projectile manufactured from an ultra dense material such as depleted uranium.

Excellent at bringing down enemy shields and causing an overload. Standard ship armor is spaced and thus the sabot deals more manageable damage if shields are lowered in time to receive the impact on armor.

This weapon system features a firing rack that houses multiple missiles.",,,,
sabot_single,WEAPON,"Fires a 2nd-stage spread of high-velocity kinetic penetrators when in range. Heavy damage to shields, and massive EMP damage when impacting on enemy hull or armor. Difficult to stop with PD.

Sabot-class class missiles are short-range, two-stage KE weapons. A guided missile first stage projects a secondary assembly to within striking distance of a shielded target. The on-board targeting computer then ignites the propellant for a KE penetrator. This 'sabot', as it is commonly called, is typically a narrow, laterally stabilized projectile manufactured from an ultra dense material such as depleted uranium.

Excellent at bringing down enemy shields and causing an overload. Standard ship armor is spaced and thus the sabot deals more manageable damage if shields are lowered in time to receive the impact on armor.

This mount can only launch one missile at a time, and carries a single replacement in a combat-rated magazine recessed into the hull.",,,,
sabot_fighter,WEAPON,"Fires a 2nd-stage spread of high-velocity kinetic penetrators when in range. Heavy damage to shields, and massive EMP damage when impacting on enemy hull or armor. Difficult to stop with PD.

Sabot-class class missiles are short-range, two-stage KE weapons. A guided missile first stage projects a secondary assembly to within striking distance of a shielded target. The on-board targeting computer then ignites the propellant for a KE penetrator. This 'sabot', as it is commonly called, is typically a narrow, laterally stabilized projectile manufactured from an ultra dense material such as depleted uranium.

Excellent at bringing down enemy shields and causing an overload. Standard ship armor is spaced and thus the sabot deals more manageable damage if shields are lowered in time to receive the impact on armor.

This mount only carries a single missile.",,,,
breach,WEAPON,"A heavily armored and fast missile with good guidance and a small, specialized anti-armor warhead.",,,,
breachpod,WEAPON,"A heavily armored and fast missile with good guidance and a small, specialized anti-armor warhead.",,,,
pilum,WEAPON,"A two-stage missile suited for long-range support by backline combat ships. The second stage has a higher top speed, giving it a better chance of defeating point-defense systems.

A technologically mature weapon system, the Pilum-class missile is the obvious choice for long-range strikes by cautious captains. The warhead consists of a device capable of causing spot failures in active shields, and an EMP generator to deliver a modest punch through these gaps. Neither device is particularly effective due to the constraints imposed by the missile's outsized fuel tanks.

A combat-rated autoloader system ensures continued, if modest, usefulness in protracted engagements.",,,,
phasecl,WEAPON,"Deploys low-velocity proximity charges with an impressive blast radius and ability to shrug off point-defense fire. Especially devastating against fighters, but also effective vs armored targets.",,,,
phasecl_bomber,WEAPON,"Deploys low-velocity proximity charges with an impressive blast radius. Especially devastating against fighters, but also effective vs armored targets.",,,,
typhoon,WEAPON,This simple but powerful weapon system consists of a launch tube and a magazine usually carrying five standard Reaper-class torpedoes.,,,,
cyclone,WEAPON,"Dual launcher system capable of launching a torpedo barrage. Devastating to slow ships that can't move out of the way in time.

A very large weapon system, the Cyclone-class launcher is listed as having two large torpedo tubes with an internal magazine that carries twenty Reaper torpedoes. The fire control system is linked and fires two Reaper-class torpedoes in tandem. An automatic loader prepares the next salvo from the magazine in seconds.",,,,
hurricane,WEAPON,"Launches a missile that splits into multiple warheads on closing with the target. Especially devastating to enemies with their shields down.

Hurricane Turrets are a late-Expansion Epoch weapon designed to launch a self-propelled, multiple missile delivery projector pod. A targeting computer programs the pod with a hit solution as it is released. The swarm of small missiles released is dangerous to all ship types. missiles feature a shaped charge warhead making them more effective versus enemy armor. These characteristics make the Hurricane a kill-weapon, usually only fired by gunnery officers with orders to destroy their crippled targets utterly.",,,,
mininglaser,WEAPON,"Cheap utility laser that is hardwired for missile and fighter defense. This configuration gives it longer range than most point defense weapons.

A Mk I mining laser features a fluoride gas gain medium refitted for combat. The micro-asteroid targeting package has been repurposed to track and target incoming missiles. Mostly useless for anything larger or armored targets. Has a built-in 670nm tracker beam.",,,,
pdlaser,WEAPON,"Small laser designed for missile and fighter defense, with great tracking capability, decent damage and very short range.

Simplicity, reliability and low flux costs characterize this ubiquitous point-defense weapon. The laser is built around a carbon dioxide gain medium combined with a short range marker beam. A simple one stage lens assembly with no moving parts permits the weapon to operate for extended periods without maintenance procedures. Low damage has prompted the creation of the ""Pray [it's a] Dud"" Laser backronym.",,,,
taclaser,WEAPON,"Standard combat laser, useful at medium to long-ranges. A very flexible weapon, especially effective against unshielded targets.

The workhorse of beam weapons in the sector, the tactical laser is often used because of its low maintenance cost, versatility and ease of construction. Features a standard carbon dioxide gain medium, a 670nm marker beam and three lens assemblies. A good support weapon for small craft, especially in prolonged engagements.",,,,
ioncannon,WEAPON,"A medium range energy cannon that delivers an electromagnetic pulse (EMP) and can quickly disable enemy systems/engines. May arc to modules near the point of impact.

The Ion Cannon's nonstandard gain medium projects highly-ionized baryonic matter in a coherent bolt. When the ion bolt impacts the target it creates a localized magnetic field which plays havoc with all manner of electronics, including sensors, fuel igniters, targeting modules, computers, etc. The weapon also fuses certain circuits, and can mildly strain shield generators, thus it does negligible amount of permanent damage. Rarely the only weapon type fitted on ships.",,,,
ioncannon_fighter,WEAPON,"A slow-firing, medium range energy cannon that delivers an electromagnetic pulse (EMP) and can quickly disable enemy systems/engines. May arc to modules near the point of impact.",,,,
irpulse,WEAPON,"A flux-efficient infrared pulse laser which fires bolts of energy at medium range. An excellent weapon for prolonged bursts of fire.

This weapon is identical to most combat lasers with a carbon dioxide gain medium fired at eleven microns. A q-switched power supply permits ablation of the target which makes the weapon much more effective than a conventional beam, at the cost of much higher power consumption. Most often used on fighters or frigates, where the low range of the weapon can be offset by the maneuverability of the fitted craft.",,,,
irpulse_fighter,WEAPON,"A slow-firing, flux-efficient infrared pulse laser which fires bolts of energy at medium range. An excellent weapon for prolonged bursts of fire.",,,,
lrpdlaser,WEAPON,"Medium range energy weapon, effective at neutralizing missile and fighter threats. Can be fired for extended periods, but the damage is subpar.

An additional lens assembly eliminates self-diffusing particles from a standard carbon dioxide beam fired at a wavelength of eleven microns. The extended range permits the otherwise low wattage to have a greater impact on the targets. Particularly useful in destroying missiles headed for a shielded target - a standard point defense laser generally doesn't have the range to extend far enough past the defensive shields of the ship it is supposed to protect.",,,,
pdburst,WEAPON,"Features a built-in capacitor that lets the weapon fire several bursts in quick succession if allowed to fully recharge. Excellent vs missiles and fighters.

The burst point defense laser is a further refinement of standard PD beam weapons. The q-switched gain medium is pulse pumped, ensuring that the power delivered to the titanium-doped sapphire gain medium peaks at a predefined interval. The result is a weapon that fires once every couple of seconds and is extremely effective for its small size. Power consumption is small enough that even some fighter craft power cores can handle the firing load.",,,,
pdburst_fighter,WEAPON,"A short-burst high-intensity laser with excellent performance vs missiles and fighters. Recharge rate is reduced due to a smaller capacitor than standard models due to the light chassis mount requirements.

The burst point defense laser is a further refinement of standard PD beam weapons. The q-switched gain medium is pulse pumped, ensuring that the power delivered to the titanium-doped sapphire gain medium peaks at a predefined interval. The result is a weapon that fires once every couple of seconds and is extremely effective for its small size. Power consumption is small enough that even some fighter craft power cores can handle the firing load.",,,,
amblaster,WEAPON,"A slow-firing, extremely high damage energy gun meant to pose a threat to the largest ships in the Sector. Can only be used at close-range.

The antimatter blaster is one of the most complicated weapons in existence. Antimatter is stored in shells that have their own powered magnetic field projector built into the casing. In order to generate a field strong enough to contain and eject the antimatter (typically positrons) the built-in capacitor must spend a considerable time charging. Once a magnetic field of the required strength is generated, the shell is breached and the antimatter is ejected toward the target, its main propellant being the Lorentz force around the muzzle of the blaster. 

Extremely effective versus all targets.",,,,
phasebeam,WEAPON,"A short-range, short-duration beam that causes heavy damage in a burst. Capable against armor, as far as beam weapons go.

This weapon is, at base, simply a laser beam with a tripled sapphire gain medium to ensure the highest possible weaponized wavelengths. The photons are fired through a hyperdimensional filter which outputs an energy beam that exists partially in p-space. The physics of the filter are not properly understood, and in laboratory settings the p-space components of a beam exceeding 6.66 giga-watts will sometimes flicker - as if blocked. Weapon mounts never use such high energy levels to ensure reliability.",,,,
gravitonbeam,WEAPON,"An atypical beam weapon which is highly effective versus shields. Excellent range, but the damage per second ratio vs armor is sub-par.

The core of this weapon is a brane rift generator which follows a 500nm tracer beam. The beam prepares local space-time for the rift in addition to providing targeting feedback to manual operators. 

Once the rift is open, higher-brane gravitons enter local space time en masse and persist up to 100 centiseconds. Damage to the target is caused by the resulting intense gravimetric shear. These higher-brane gravitons easily overwhelm standard energy fields.",,,,
pulselaser,WEAPON,"Fires repeating bolts of energy, favoring the medium-range combatant that has the flux reserves and wants to put constant pressure on the enemy.

Designed to fire pulses rather than a constant beam, with a total power output exceeding constant-operation designs. As with continuous lasers, a carbon dioxide gain medium is fed energy and produces photons at eleven microns wavelengths. 

Greater energy delivered in shorter time means the target is ablated, a process that causes the vaporization of small surfaces sections. The resulting shock waves do additional structural damage. ",,,,
