name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
强化护盾,hardenedshieldemitter,3,,,"shields, defensive, merc",护盾,10000,,,,5,10,15,25,data.hullmods.HardenedShieldEmitter,降低 %s 护盾所受伤害，并降低护盾被 EMP 电弧击穿的概率。,降低护盾所受伤害。,graphics/hullmods/hardened_shields.png
硬化子系统,hardened_subsystems,0,,,"special, merc",特殊,2500,TRUE,,,5,10,15,25,data.hullmods.HardenedSubsystems,"提高 %s 峰值时间，防止舰船性能过早因长期部署而下降。

同时还将战备值 (CR) 在战斗中衰减的速度降低 %s。",提高峰值时间，且降低战备值 (CR) 的衰减速率。,graphics/hullmods/hardened_subsystems.png
重型装甲,heavyarmor,0,,,"defensive, merc",防御,2500,,,,8,15,20,40,data.hullmods.HeavyArmor,按舰船级别，提高 %s/%s/%s/%s 装甲，降低 %s 机动性。,提高装甲值，降低机动性。,graphics/hullmods/heavy_armor.png
高散射增幅器,high_scatter_amp,3,,,"offensive, merc",武器,5000,,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.HighScatterAmp,降低光束类武器的射程，并且使它们在对护盾造成伤害时产生硬幅能。,提高光束武器的伤害，还可对护盾造成硬幅能伤害，但降低其基础射程。,graphics/hullmods/high_scatter_amp.png
整合点防御 AI,pointdefenseai,3,,,"defensive, merc","武器, 防御",10000,,,,4,8,12,20,data.hullmods.IntegratedPointDefenseAI,"给予所有小型的非导弹型武器自动拦截敌方来袭导弹以及识别并无视热诱弹的能力。锁定导弹的优先级大于战机与敌舰。

此外，无论战备处于何种水平，所有点防御武器均可保持最佳精准度。且对导弹造成的伤害提高 %s。",所有非导弹的小型武器都具备点防能力。点防武器不会再被热诱弹干扰。,graphics/hullmods/integrated_point_defense_ai.png
#Point Defense Integration,pdintegration,3,,,"defensive, merc","武器, 防御",10000,,,,12,15,18,24,com.fs.starfarer.api.impl.hullmods.PDIntegration,"Reduces the ordnance point cost of small point-defense weapons by %s. The cost reduction only affects weapons that have PD capability as a feature of the weapon itself, and not when it's gained through other means such as from a hullmod.

In addition, all point-defense weapons deal %s more damage to all targets.","Reduces ordnance point cost of small PD weapons, increases all PD damage.",graphics/hullmods/integrated_point_defense_ai.png
目标定位系统,targetingunit,3,,,"offensive, merc",武器,10000,,,,4,8,15,25,data.hullmods.IntegratedTargetingUnit,"根据舰船级别，提高实弹和能量武器 %s/%s/%s/%s 射程。不兼容于专注型目标锁定核心。

除了一些特化的装配，绝大多数的战斗舰船都会选择安装 目标定位系统 而非 专注型目标锁定核心。",提高武器射程，越大的舰船收益越大。,graphics/hullmods/integrated_targeting_unit.png
导航中继器,nav_relay,2,,,"engines, special, merc","引擎, 支援",5000,,,,10,15,20,25,com.fs.starfarer.api.impl.hullmods.NavRelay,"当该舰投入战斗时，根据舰船级别，提高 %s/%s/%s/%s 的舰队导航评级。

导航评级会提高你所部署舰船的最高航速。",提高已部署的舰船在战斗时的最高航速。,graphics/hullmods/nav_relay.png
神经接口,neural_interface,3,,,"special, no_build_in",特殊,10000,,,,3,6,9,25,com.fs.starfarer.api.impl.hullmods.NeuralInterface,"将旗舰与其他舰船连接起来，使你能快速切换当前操作的舰船，而无需通过穿梭机转移。两艘船都需安装 神经接口，且不能由副官或 AI 核心操控。如果二者的总部署成本小于或等于 %s，转移将瞬间完成。

如果被连接的舰船被摧毁或离开战场，旗舰将自动与另一艘有 神经接口 的舰船建立 神经链接。如果旗舰被击沉，指挥官必须乘穿梭舱转移到另一艘有 神经接口 的舰船上才能建立新的链接。

和 ""转移指挥权"" 类似，无论你亲自控制其中哪一艘，被连接的这一对舰船都能从你的个人战斗技能中获益。但对诸如提高武器备弹量之类需在战斗前更改舰船状态的技能效果不起作用。",允许在舰船之间快速切换，并重置战术系统的冷却时间或恢复一次充能。,graphics/hullmods/neural_interface.png
神经集成器,neural_integrator,,,,"special, no_build_in",特殊,10000,,,,4,8,12,50,com.fs.starfarer.api.impl.hullmods.NeuralIntegrator,"用于自主无人舰的增强版 神经接口。通过链接直接控制舰船的所有系统，而非简单地通过控制意识对舰桥人员下达指示。

将旗舰与其他舰船连接起来，使你能快速切换当前操作的舰船，而无需通过穿梭机转移。两艘船都需安装 神经接口，且不能由副官或 AI 核心操控。如果二者的总部署成本小于或等于 %s，转移将瞬间完成。

如果被连接的舰船被摧毁或离开战场，旗舰将自动与另一艘有 神经接口 的舰船建立 神经链接。如果旗舰被击沉，指挥官必须乘穿梭舱转移到另一艘有 神经接口 的舰船上才能建立新的链接。

和 ""转移指挥权"" 类似，无论你亲自控制其中哪一艘，被连接的这一对舰船都能从你的个人战斗技能中获益。但对诸如提高武器备弹量之类需在战斗前更改舰船状态的技能效果不起作用。",自动化舰船专用的神经接口。,graphics/hullmods/neural_integrator.png
全角护盾转化器,adaptiveshields,3,,,"shields, defensive, merc",护盾,7000,,,,3,6,10,18,data.hullmods.OmniShieldEmitter,以降低 %s 护盾角度为代价，将前置护盾转化为全角护盾，并降低 %s 护盾的维持成本。,将前盾转化为全盾，降低护盾面积，并降低护盾维持成本。,graphics/hullmods/omni_shield_emitter_mod.png
作战中心,operations_center,1,,,special,特殊,5000,,,,30,30,30,30,com.fs.starfarer.api.impl.hullmods.OperationsCenter,当安装在旗舰上时，将会提高 %s 指挥点恢复速率。,如果安装在旗舰则提高指挥点恢复速率。,graphics/hullmods/operations_center.png
相位锚点,phase_anchor,3,,,"phase, merc, no_build_in",相位,7000,,,,10,20,30,50,com.fs.starfarer.api.impl.hullmods.PhaseAnchor,"将相位线圈的激活幅能降至 %s。并且在相位隐形时，将软幅能耗散速率与弹药恢复速率提高至 %s 。

当该舰即将被摧毁或停机时，将自动消耗部署成本 %s 的战备值 (CR)，然后紧急下潜至相位空间深处，视为从战斗中撤退。不过，该舰必须拥有足以用于消耗的战备值 (CR)，才能启用这种紧急下潜。

因该行动会对相位空间造成严重扭曲，所以每场战斗 (无论敌友) 仅能进行一次这样的操作。",提高相位隐形时的软幅能耗散速率与武器充能速率，还能紧急下潜来规避致命伤害。,graphics/hullmods/phase_anchor.png
救援穿梭舱,recovery_shuttles,1,,,special,战机,4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.RecoveryShuttles,降低战机联队 %s 的人员战损。,降低因战机损失而导致的人员伤亡。,graphics/hullmods/recovery_shuttles.png
强化舱壁,reinforcedhull,0,,,"defensive, merc",防御,2500,TRUE,,,5,10,15,30,data.hullmods.ReinforcedBulkheads,提高舰船 %s 的结构值。且当该舰停机时，不会四分五裂且几乎总是可在战后修复。,提高舰船耐久，避免该舰船在停机时碎裂，并总是可被修复。,graphics/hullmods/reinforced_bulkheads.png
幅散管道扩容,fluxbreakers,2,,,"defensive, merc","特殊, 防御",7000,,,,3,6,9,15,data.hullmods.FluxBreakers,降低 %s 武器、引擎受到的 EMP 损伤。并提高 %s 强制排幅的速率。,降低受到的 EMP 损伤，加快强制排幅速度。,graphics/hullmods/resistant_flux_conduits.png
安全协议超驰,safetyoverrides,0,,,"special, engines, offensive, merc, no_build_in","特殊, 引擎",2500,TRUE,,,15,30,45,70,data.hullmods.SafetyOverrides,"禁用舰船的安全协议，根据舰船级别提高 %s/%s/%s 舰船战斗中的最高航速，也会对应提高加速度。零幅能加速在任何幅能水平下都能生效。幅能耗散将直接提高至 %s 倍 (包括来自其他船插、改装的部分)。

峰值时间降低为原来的 %s 分之一，禁用强制排幅，且所有武器射程超过 %s 单位的部分将极大衰减。

无法安装在民用舰或者主力舰上。",极大地提高舰船性能，但大幅降低峰值时间。,graphics/hullmods/safety_overrides.png
,,,,,,,,,,,,,,,,,,
稳定护盾,stabilizedshieldemitter,1,,,"shields, defensive, merc",护盾,5000,,,,3,6,9,15,data.hullmods.StabilizedShieldEmitter,降低 %s 维持护盾所需的软幅能。不会影响护盾受到伤害所产生的硬幅能。,降低护盾维持幅能。,graphics/hullmods/stabilized_shields.png
,,,,,,,,,,,,,,,,,,
不稳定喷射器,unstable_injector,0,,,"engines, merc",引擎,2500,TRUE,,,5,10,15,25,data.hullmods.UnstableInjector,"根据舰船级别，提高 %s/%s/%s/%s 的最高航速。

但干扰了武器定位与机库系统，而导致武器射程降低 %s，且战机整备时间提高 %s。",提高航速，降低武器射程。,graphics/hullmods/unstable_injector.png
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
# logistics hullmods,,,,,,,,,,,,,,,,,,
船员宿舍扩容,additional_berthing,0,,,"req_spaceport, merc","后勤, 需要船坞",3000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AdditionalBerthing,"根据舰船级别，提高 %s/%s/%s/%s 或至少 %s 名最大载员。

而对于民用舰船，还会提高 %s 维护时所消耗的补给量。",提高舰船的最大载员。,graphics/hullmods/berthing.png
增强驱动力场,augmentedengines,1,,,"req_spaceport, merc","后勤, 需要船坞",8000,,,,8,16,24,40,data.hullmods.AugmentedEngines,最大宇宙航速提高 %s。,提高最大宇宙航速。,graphics/hullmods/augmented_drive_field2.png
辅助燃料罐,auxiliary_fuel_tanks,0,,,"req_spaceport, merc","后勤, 需要船坞",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.AuxiliaryFuelTanks,"根据舰船级别，提高 %s/%s/%s/%s 或至少 %s 单位燃料存储量。

而对于民用舰船，还会提高 %s 维护时所消耗的补给量。",提高舰船的燃料存储量。,graphics/hullmods/fuel_tanks.png
高效检修,efficiency_overhaul,0,,,"req_spaceport, merc","后勤, 需要船坞",4000,,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.EfficiencyOverhaul,"降低 %s 维修消耗的补给、燃料的使用量以及最低船员需求。

提高 %s 战备恢复和修理速率。但随着效率的提高，每日补给消耗量也会提高，但总补给消耗量不变。",降低维护成本，让舰船能更频繁地被部署于战斗中。,graphics/hullmods/efficiency.png
货舱扩容,expanded_cargo_holds,0,,,"req_spaceport, merc","后勤, 需要船坞",4000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.ExpandedCargoHolds,"根据舰船级别，提高 %s/%s/%s/%s 或至少 %s 单位载货量。

而对于民用舰船，还会提高 %s 维护时所消耗的补给量。",提高舰船的载货量。,graphics/hullmods/expanded_cargo.png
高精度传感器,hiressensors,2,,,"req_spaceport, merc","后勤, 需要船坞",9000,,,,9,9,9,15,com.fs.starfarer.api.impl.hullmods.HighResSensors,提高 %s 点护卫舰、驱逐舰和巡洋舰的探测范围，而主力舰则提高 %s 点。,提高舰队探测范围。,graphics/hullmods/high_res_sensors.png
发动机隔离性装配,insulatedengine,0,,,"engines, defensive, req_spaceport, merc","引擎, 后勤, 防御, 需要船坞",2500,,,,3,6,9,15,data.hullmods.InsulatedEngines,"提高 %s 舰船发动机的耐久，并提高 %s 的船体结构值。

同时降低该舰 %s 的被侦测范围。",令引擎更不易失效，且该舰的被侦测范围降低。,graphics/hullmods/insulated_engine_assembly.png
军事化子系统,militarized_subsystems,0,,,"req_spaceport, merc","特殊, 后勤, 需要船坞",6000,TRUE,,,5,10,15,25,com.fs.starfarer.api.impl.hullmods.MilitarizedSubsystems,"移除民用级船体的惩罚，并提高 %s 最大宇宙航速。

提升 %s 幅能耗散，并提升 %s 专为装甲减伤起效的装甲。

提高 %s 最低船员需求。",消除传感器惩罚、提高最大宇宙航速、提升战斗表现、提高船员需求。,graphics/hullmods/militarized_subsystems.png
恒星防护层,solar_shielding,2,,,"defensive, req_spaceport, merc","防御, 后勤, 需要船坞",5000,,,,3,6,9,15,data.hullmods.SolarShielding,"最早由辛达的工程师为应对 Askonia 星系核心区的独特环境而研发。降低 %s 日冕对战备值 (CR) 的影响，对超空间内的风暴也有同样的作用。

战斗中降低 %s 舰船所受到的能量伤害。",降低日冕惩罚与所受能量武器的伤害。,graphics/hullmods/solar_shielding2.png
勘探设备,surveying_equipment,1,,,"special, req_spaceport","后勤, 需要船坞",5000,,,,5,10,15,25,data.hullmods.SurveyingEquipment,根据舰船级别，降低 %s/%s/%s/%s 勘探星球时所需的重型机械和补给。所消耗资源的数量最低可降至 %s。,降低勘探时所需的资源。,graphics/hullmods/surveying_equipment.png
,,,,,,,,,,,,,,,,,,
# standard built-in hullmods,,,,,,,,,,,,,,,,,,
终结者核心,terminator_core,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.TerminatorCore,终结者无人机的专属插件。,,graphics/hullmods/terminator_core.png
共享幅散管道,shared_flux_sink,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.SharedFluxSink,根据当前存活模块的数量，最高提高 %s 的幅能耗散。如果模块在战斗中遭到破坏，幅能耗散增益将在剩余模块间重新分配。而 %s 耗散增益将适用于硬幅能耗散。,模块损失后提高其他模块幅能与硬幅能的耗散效率。,graphics/hullmods/shared_flux_sink.png
感应雷区,stealth_minefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefield,战场周遭会布置大量感应空雷，并破坏靠近的敌舰。,战场周遭会布置大量感应空雷，并破坏靠近的敌舰。,graphics/hullmods/stealth_mines.png
感应雷区,stealth_minefield_lt,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.StealthMinefieldLT,战场周遭会布置大量感应空雷，并破坏靠近的敌舰。,战场周遭会布置大量感应空雷，并破坏靠近的敌舰。,graphics/hullmods/stealth_mines.png
战机底盘储备,chassis_storage,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FighterChassisStorage,即便战机遭到破坏，也不会降低战机整备速率。,战机整备速率不会下降。,graphics/hullmods/expanded_deck_crew.png
保持开盾,shield_always_on,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShieldAlwaysOn,,强制开启护盾。,graphics/hullmods/hardened_shields.png
导弹自动工厂,missile_reload,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PeriodicMissileReload,内置的导弹工厂会定期补满所有导弹武器。,内置的导弹工厂会定期补满所有导弹武器。,graphics/hullmods/expanded_missile_racks.png
屏蔽货舱,shielded_holds,2,,,,,,,TRUE,,5,10,15,30,data.hullmods.ShieldedCargoHolds,原本是保护无护盾货舰免受天体辐射的影响，但经过简单调整就可用于干扰远距离货舱扫描，来降低违禁物品被发现的概率。,降低被检查到违禁品的风险。,graphics/hullmods/shielded_cargo_hold.png
打捞起重机,repair_gantry,,,,,,,,TRUE,,5,10,20,40,com.fs.starfarer.api.impl.campaign.RepairGantry,根据舰船级别，提高 %s/%s/%s/%s 从遗弃物、 舰船残骸等打捞到的资源，只影响普通资源的回收，如燃料与补给，而蓝图等稀有物资将不受影响。此外也提高 %s 战后打捞效率。,提高打捞收益。,graphics/hullmods/repair_gantry.png
相位力场,phasefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PhaseField,能长时间激活低水平相位场，使被侦测范围降低 %s。,降低被侦测范围。,graphics/hullmods/phase_field.png
磁通分流,fluxshunt,,,,,,,,TRUE,,10,20,30,50,data.hullmods.FluxShunt,允许舰船以 %s 的正常耗散速率在护盾开启时耗散硬幅能。,允许舰船在展开护盾时耗散硬幅能。,graphics/hullmods/flux_shunt.png
民用级舰体,civgrade,,,,,,,,TRUE,,0,0,0,0,data.hullmods.CivGrade,提高 %s 被侦测范围，降低 %s 探测范围。,提高被侦测范围，降低探测范围。,graphics/hullmods/civilian_grade.png
高维护需求,high_maintenance,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HighMaintenance,提高 %s 的每月维护所需补给。,提高维护成本。,graphics/hullmods/high_maintenance.png
,,,,,,,,,,,,,,,,,,
牵引线缆,tow_cable,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.TowCable,"使舰队中最慢舰船的宇宙航行速度提高 1 点。多个拖船不能提高同一艘船的航速。

战斗中无效。",提高另一舰船的最大宇宙航速。,graphics/hullmods/monofilament_cable.png
驱动力场稳定器,drive_field_stabilizer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DriveFieldStabilizer,"稳定舰队航行时的驱动泡，来提高 %s 的舰队最高航速。多个稳定器的效果可以累加。

但提高 %s 被侦测范围。",降低整支舰队的燃料消耗。,graphics/hullmods/augmented_drive_field.png
地面支援,ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GroundSupport,针对地面防御工事配备了密接支援武器和专用反制措施。提高 %s 突袭殖民地的有效强度，该加成不会超过携带陆战队员的总人数。,提高突袭的效率。,graphics/hullmods/ground_support.png
进阶地面支援,advanced_ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AdvancedGroundSupport,配备近距离支援武器与地面防御对策。提高 %s 突袭殖民地的有效强度，该加成不会超过携带陆战队员的总人数。,提高突袭的效率。,graphics/hullmods/ground_support_adv.png
精密机械,delicate,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DelicateMachinery,"舰载系统需要巨量维护，且无法长期在战斗下维持良好运转。

当峰值时间耗尽后，战备值 (CR) 衰减的速率提高 %s。",提高峰值时间耗尽后的战备值 (CR) 衰减速率。,graphics/hullmods/delicate_machinery.png
重弹集成,hbi,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.HeavyBallisticsIntegration,降低 %s 点所有大型实弹武器所需的装配点。,降低大型实弹武器所需装配点。,graphics/hullmods/ballistics_integration.png
坚固结构,rugged,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.RuggedConstruction,将大多数 D-插件 的负面影响降低 %s。如果在战斗中停机或被摧毁，则该舰有 %s 的几率避免新 D-插件 的产生，且几乎总是可在战后修复。,降低 D-插件 的影响，且几乎总是可在战后修复。,graphics/hullmods/rugged_construction.png
全自动舰船,automated,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.Automated,"能全自动化运作，无需人类船员操作，亦无法搭载任何人类。

自动化舰船需要专门的设备与专业知识才能进行日常维护，从而导致 %s 的战备值 (CR) 上限惩罚。但这个惩罚可被一名熟练操控自动化舰船的舰队指挥官所抵消。",无需船员也无法搭载船员。,graphics/hullmods/automated.png
先进目标定位核心,advancedcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AdvancedTargetingCore,"提高 %s 实弹与能量武器射程，但点防类武器仅提高 %s。

与 目标定位系统 和 专注性目标锁定核心 冲突。",极大地提高非导弹武器的射程。,graphics/hullmods/advanced_targeting_core.png
目标定位巨型机,supercomputer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.TargetingSupercomputer,"提高 %s 实弹与能量武器射程，但点防类武器仅提高 %s。

同时也提高了瞄准精度，并大幅度提高战斗探测范围。",极大地提高非导弹武器的射程。,graphics/hullmods/targeting_supercomputer.png
