name,id,planetary,decivRemove,script,desc,icon,order
卢德教众,luddic_majority,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,如果{$market}是由卢德教会掌控，其稳定性将大大提高，否则就会降低。且卢德教义里的禁欲主义会导致本地奢侈品的需求降低。,graphics/icons/markets/luddic_majority.png,142
感应雷区,stealth_minefields,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,$market}的感应雷区不仅能抵御外敌入侵，也能为来访的外来商人提供了安全保障。稳定性提高。,graphics/icons/markets/stealth_mines.png,510
地区首府,regional_capital,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,一处控制安全以及后勤的主要行政中心。稳定性提高。,graphics/icons/markets/capital.png,500
自由港,free_market,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,当地港务局不仅对所交易的商品没有任何明文规定。且相当宽松的移民管制，也让大量外来人口纷纷涌入此地，尽管某些人的移民性质非常可疑。正因如此，这也导致部分势力以不信任的态度看待着该殖民地。,graphics/icons/markets/free_port.png,141
禁止移民,closed_immigration,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,当地政府禁止了一切移民到{$market}的请求。在该政策下，不仅会导致人口增长率显著放缓，也为某些犯罪分子创造了活动空间。,graphics/icons/markets/vice_demand.png,142
,,,,,,,
死寂之地,uninhabitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,一颗贫瘠的星球，正如我们所知，{$market}的地表不仅没有有机生命，也无法在封闭的生态系统之外进行农业活动。,graphics/icons/markets/uninhabitable_wide.png,10
冰川地貌,ice,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,$market}的平均温度非常之低，且宜居的大气已成为降雪。因积雪和冰川质量较轻。使挥发物更容易提取。,graphics/icons/markets/ice_world_wide.png,10
沙漠地貌,desert,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,$market}：沙漠星球。仅有的旱生植物维持着稀薄的大气，几乎无法进行农耕作业。,graphics/icons/markets/desert_world_wide.png,10
干旱地貌,arid,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,$market}被辽阔而干燥的平原与荒地覆盖着。由于水资源非常稀缺，因此想要大规模发展农业是非常困难的。,graphics/icons/markets/arid_world_wide.png,10
海洋地貌,water,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,$market}的气候十分宜人，但农业被很大程度的限制在水产养殖业中，且任何居住区和工业的发展都需要借助高度专业化的设施支持。,graphics/icons/markets/water_world_wide.png,10
丛林地貌,jungle,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,$market}是一个潮湿温暖的丛林世界，缤纷的植被覆盖和异国情调的生命形式，使得这里的农业和设施的维护变得非常困难。,graphics/icons/markets/jungle_world_wide.png,10
宜居地貌,terran,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,$market}有着与旧地球环境非常接近的地形地貌，为居住和农业提供了良好的环境。,graphics/icons/markets/terran_world_wide.png,10
贫瘠地貌,barren_marginal,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,$market}的外界环境荒凉且无情，即便装备有空气面罩和防护设备依旧难以生存，不过在一些被地球化改造后的地衣附近还是可以勉强落脚。,graphics/icons/markets/barren_desert_wide.png,10
暮光之地,twilight,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,因潮汐力将该行星牢牢锁住，使{$market}成为了四季一天的改造世界。极昼极夜的温差即便在改造设施中也使生活显得异常苛刻。通过明智地使用恒星罩和恒星镜，而创造了一片温和的生态圈和聚集文明的岛屿。,graphics/icons/markets/twilight_terran_world.png,10
苔原地貌,tundra,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,经地球化改造后的{$market}已经足以让人类居住，但仍处在旧地球的冰河时期水平。虽数百万平方公里都覆盖着冰川，但在温和的地方也存在着针叶林和草原。,graphics/icons/markets/tundra_terran_wide.png,10
冰火山地貌,cryovolcanic,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,一个极寒世界，甲烷雪覆盖在随时会喷发的氨火山上。恒星辐射催化了挥发物，使其形成氧气和氮气，而氢气则被挤上了太空。,graphics/icons/markets/cryo_world_wide.png,10
,,,,,,,
异议人士,dissident,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Dissident,$market}聚集着各种异政者、反叛者、自由思想家，艺术家和其他麻烦制造者。警方和乌合之众都增加了对武器和陆战队的需求。因频繁的移民也使可雇佣的船员增多。,graphics/icons/markets/dissidents.png,139
指挥中心,headquarters,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Headquarters,"$market}是军事指挥和后勤运作的枢纽。提升市场稳定性。

提高{$market}舰队的军官质量与数量。",graphics/icons/markets/headquarters.png,360
水培复合体,hydroponics_complex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,处利用于密封生物圈的农业生产设施使在这颗荒芜的星球上进行养殖成为可能。需要船员进行操作，且有机物和重型机械的需求增长。,graphics/icons/markets/hydroponics.png,120
,,,,,,,
人口,population_1,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,只有数十人永久居住在这里.,graphics/icons/markets/population01.png,20
人口,population_2,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,仅有数百人在{$market}定居.,graphics/icons/markets/population02.png,20
人口,population_3,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,有数千人把{$market}当作家园.,graphics/icons/markets/population03.png,20
人口,population_4,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,数万人生活在{$market}.,graphics/icons/markets/population04.png,20
人口,population_5,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market}有数十万的固定居民.,graphics/icons/markets/population05.png,20
人口,population_6,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market}拥有数百万人口.,graphics/icons/markets/population06.png,20
人口,population_7,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market}是一处拥有数以千万人口的行星.,graphics/icons/markets/population07.png,20
人口,population_8,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market}是世界上少数几个人口数亿的行星之一.,graphics/icons/markets/population08.png,20
人口,population_9,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,人类在危险星域中的宝贵避难所，{$market}是数十亿灵魂的家园.,graphics/icons/markets/population09.png,20
人口,population_10,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market}是星域主要的人口中心，一处与旧地球一样的数十亿人类的家园.,graphics/icons/markets/population10.png,20
,,,,,,,
,,,,,,,
,,,,,,,
# event-related market conditions,,,,,,,
食品短缺,event_food_shortage,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"$market}的食品暂时出现短缺.
-稳定性降低$stabilityPenalty
-解决粮食短缺需要$neededFood单位
-由于供应缺口而导致食品价格上升
-倒卖食品可以提升关系和经验",graphics/icons/markets/food_shortage.png,1000
最近动乱,recent_unrest,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,$market}最近经历了一些动荡，即使骚乱已结束，但影响仍在持续.,graphics/icons/markets/recent_unrest.png,2000
贸易中断,event_trade_disruption,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"进出{$market}的贸易舰队在运输途中遭受巨大损失，罪魁祸首可能是战争与海盗.

受影响的商品包括：
$commoditySummary",graphics/icons/markets/trade_disruption.png,1100
走私,event_smuggling,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market}正经历相当猖獗的走私活动.

-稳定性降低$smugglingPenalty",graphics/icons/markets/smuggling.png,1000
星系悬赏,event_bounty,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
失控的 AI 核心,rogue_ai_core,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,"$market}内正运行着一个处于失控状态且抱有恶意的{AI}核心，除了保全自身以外，它的长期计划与抱负将不得而知。

至少，因对它可能采取的行动而随时保持着的警惕心，也让日常行动的效率降低，并为令人担忧的谣言创造了肥沃的土壤。",graphics/icons/markets/rogue_ai.png,1200
AI 管理员(隐藏),ai_core_admin,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,Hiddenconditiontotrackwhenthecorebecomesun-removable.Doesnotneedanicon.,graphics/icons/markets/rogue_ai.png,1000
海盗袭击,pirate_activity,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,"有迹象表名，该星系的舰队与殖民地将成为海盗袭击的目标。无论是港口检查员因迫于压力而选择视而不见，到货物清单的不一致，以及其他犯罪活动增加，都预示着这儿已不再太平。

海盗很可能在附近的星系设有基地。",graphics/icons/markets/pirate_activity.png,1300
左径狂信徒,pather_cells,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.LuddicPathCells,,graphics/icons/markets/pather_cells.png,1400
,,,,,,,
# stand-alone conditions,,,,,,,
贸易中断,shipping_disruption,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShippingDisruption,,graphics/icons/markets/trade_disruption.png,1000
,,,,,,,
# misc,,,,,,,
通讯中继站(隐藏),comm_relay,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CommRelayCondition,Hiddencondition;doesnotneedicon.,,
,,,,,,,
,,,,,,,
# procgen conditions,,,,,,,
宜居,habitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.Habitable,人类能够在无需保护的情况下生存在{$market}的地表.,graphics/icons/markets/habitable.png,21
,,,,,,,
,,,,,,,
散落的废墟,ruins_scattered,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,在大崩塌之前，此地只不过被{人之领}的伟大项目轻微触动。如今地表只有零散且破碎的圆顶或一些早已被掠夺一空的贮藏点。,graphics/icons/markets/ruins_scattered.png,100
普遍的废墟,ruins_widespread,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,根据雷达上那些辐射源光点，你可以在{$market}找到不少发泡结构和独特的复合硬质合金轧辊，而这就是{人之领}后期扩张时努力殖民的证据。,graphics/icons/markets/ruins_widespread.png,100
大量的废墟,ruins_extensive,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}的整个表面布满了城市的废墟，从破碎的市中心一直延伸出去，可以发现不少断裂的铁轨线，废弃工厂，水培农场以及通讯塔的骨架。,graphics/icons/markets/ruins_extensive.png,100
巨大的废墟,ruins_vast,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}覆盖着巨大的废墟、城市、工厂、矿山、农场、住宅。死亡与救助物资、货物、工具以及武器交织在一起。此地正是{人之领}星系殖民化和霸权项目傲慢的坟墓。,graphics/icons/markets/ruins_vast.png,100
,,,,,,,
,,,,,,,
寒冷,cold,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}因较低的表面温度而需要专业的设备来进行安全操作，且生命维持与基础设施也是必不可少的。,graphics/icons/markets/cold.png,25
极端寒冷,very_cold,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}因极低的表面温度而需要专业的设备和协议进行安全操作，且复杂的后勤管理，生命维持与基础设施也都必不可少。,graphics/icons/markets/cold_extreme.png,25
,,,,,,,
炎热,hot,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}因较高的表面温度而需要专业的设备来进行安全操作，且生命维持与基础设施也是必不可少的。,graphics/icons/markets/hot.png,25
极端炎热,very_hot,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}因极高的表面温度而需要专业的设备和协议进行安全操作，且复杂的后勤管理，生命维持与基础设施也都必不可少。,graphics/icons/markets/hot_extreme.png,25
,,,,,,,
,,,,,,,
构造活动性,tectonic_activity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}的地壳很不稳定且容易发生剧烈地震。因此任何结构都需要特殊加固而任何开挖都要冒很大的风险。,graphics/icons/markets/tectonic.png,26
极端构造活动性,extreme_tectonic_activity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}的地表长期经受着极端地震与火山爆发等灾难性事件的蹂躏。任何操作都需要格外谨慎，且遍布的警报系统也能起到一定的预防作用。而这里的建筑存在时间都不会太久。,graphics/icons/markets/tectonic_extreme.png,26
,,,,,,,
,,,,,,,
没有大气层,no_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,因在{$market}的表面不存在任何大气层。因此该行星就暴露在各种陨石辐射等恶劣的太空环境中。,graphics/icons/markets/atmosphere_none.png,27
稀薄大气层,thin_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,一个稀薄的大气层依附于{$market}的表面。,graphics/icons/markets/atmosphere_thin.png,27
剧毒大气层,toxic_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}的大气层中充满了腐蚀性毒素，并侵蚀着毫无保护的地表，而任何居住的空间都需要进行气密封装。,graphics/icons/markets/atmosphere_toxic.png,27
稠密大气层,dense_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}的表面被厚重的大气层所覆盖，大气的外层盘踞着汹涌的涡流，而底层则搅成一团，仿佛一锅倒人胃口的汤。感应器在这里会受到干扰，因此执行任务时需要多加小心。,graphics/icons/markets/atmosphere_dense.png,27
,,,,,,,
,,,,,,,
温和气候,mild_climate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.MildClimate,$market}的大气层是温暖而平和的，薄雾的消散迎接着每一轮日出，直至太阳退回到柔软的云层，那一刻的日落才是最令人着迷的。,graphics/icons/markets/climate_mild.png,28
极端气候,extreme_weather,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,猛烈风暴与闪电肆虐着{$market}的天空。虽然从轨道上看起来壮观美丽，但是这样恶劣的地面条件，使运输与居住条件都非常糟糕。,graphics/icons/markets/weather_extreme.png,28
,,,,,,,
低重力,low_gravity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LowGravity,尽管重力较低，但明显高于零重力，在{$market}的地表上，重型机械的工作流程相对于标准程序来说，因摩擦、重量、压力的动态变化而变得更加复杂。,graphics/icons/markets/gravity_low.png,24
高重力,high_gravity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.HighGravity,重力在{$market}的表面高的惊人。尽管人类都配备了动力外骨骼，但因每做出一次基本动作都会十分疲惫，因此居住在此简直就是一种折磨。因所有行动都可能发生崩塌，所以进行的专业工程都必须近乎偏执的严谨，否则极易发生结构性大崩溃。,graphics/icons/markets/gravity_high.png,24
,,,,,,,
辐射,irradiated,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}的表面因长期遭受辐射的侵袭，导致任何生物都必须在狭小的圆顶栖息地中生存。而暴露在恶劣条件中的电路，纳米材料与机械都将会迅速老化。,graphics/icons/markets/irradiated.png,29
,,,,,,,
,,,,,,,
敌意生物圈,inimical_biosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorLow,$market}的生物圈对无保护措施的人是极其致命的。虽然这的自然条件令所有生物学者痴迷，但这些技术人员都必须经过严格检疫手续后才能到达地面执行任务。,graphics/icons/markets/inimical_biosphere.png,30
,,,,,,,
海洋覆盖,water_surface,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,这是一个海洋世界，没有固态的地表可供行走或建造。需要专业的培训与设备才能进行安全且复杂的操作。,graphics/icons/markets/water_covered.png,31
,,,,,,,
昏暗,poor_light,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,因距离较远，使得恒星只能为{$market}提供微弱的照明与能量。,graphics/icons/markets/poor_light.png,32
黑暗,dark,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market}表面一片黑暗，它的主要光源基本都来自人工照明。,graphics/icons/markets/darkness.png,32
,,,,,,,
流星撞击,meteor_impacts,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,这个世界经常遭受各种规格与速度的流星轰击。所有居住于此或暂时驻留的人类，都必须时刻警惕天空。而想在此永久定居就最好生活在地下深处的强化建筑内。,graphics/icons/markets/meteor_impacts.png,33
,,,,,,,
,,,,,,,
污染,pollution,,,com.fs.starfarer.api.impl.campaign.econ.Pollution,人类的工业对这个世界造成了毁灭性的破坏，空气中充满了二恶英、硫化合物、粉尘。而腐烂的放射性尘埃则散落的到处都是。由塑料碎屑与泡沫金属碎片组成的大风暴将天空搅动成骇人的死亡通道。,graphics/icons/markets/pollution.png,110
,,,,,,,
,,,,,,,
零星的矿床,ore_sparse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,这里存在一些稀疏的矿床，但它们的价值基本是学术上的，而非工业利益。,graphics/icons/markets/ore_sparse.png,50
少量的矿床,ore_moderate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market}含有适度的矿床，只需适当的经济投资，就能获取不错的回报。,graphics/icons/markets/ore_moderate.png,50
大量的矿床,ore_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market}拥有丰富，广阔且价值较高的矿床。,graphics/icons/markets/ore_abundant.png,50
丰富的矿床,ore_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,富饶的矿床在{$market}地壳内闪闪发光，但只有雄心勃勃的企业家才能利用它们获取丰厚回报。,graphics/icons/markets/ore_rich.png,50
富饶的矿床,ore_ultrarich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,这里的矿产资源存在于{$market}寸土寸金的地表之下，其富饶程度甚至会让{人之领}的矿业巨头或超级军团都为之疯狂。,graphics/icons/markets/ore_ultrarich.png,50
,,,,,,,
,,,,,,,
零星的稀土矿床,rare_ore_sparse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,这里存在一些稀疏的稀土矿床，但它们的价值基本是学术上的，而非工业利益。,graphics/icons/markets/rareore_sparse.png,60
少量的稀土矿床,rare_ore_moderate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market}含有适度的稀土矿床，只需适当的经济投资，就能获取不错的回报。,graphics/icons/markets/rareore_moderate.png,60
大量的稀有矿床,rare_ore_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,丰富的稀土矿床存在于{$market}的地壳内，其潜在的经济价值足以刺激到一些军阀或巨头的野心。,graphics/icons/markets/rareore_abundant.png,60
丰富的稀土矿床,rare_ore_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,富饶的稀土矿床在{$market}的地壳内四处蔓延，其蕴含的强大力量足以促使拥有足够资格的人们将手伸向了这里。,graphics/icons/markets/rareore_rich.png,60
富饶的稀土矿床,rare_ore_ultrarich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,传感器网格上闪耀的那些令人难以置信的光点，预示着这是一种沉睡已久的庞大力量，在{人之领}崩塌后的今天，这种力量足以点燃席卷整片星域的战火，或创造出一个永不衰落的财富帝国。,graphics/icons/markets/rareore_ultrarich.png,60
,,,,,,,
,,,,,,,
微量的挥发物,volatiles_trace,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,此地发现了一些几乎不值得提取的微量挥发物。,graphics/icons/markets/volatiles_trace.png,40
少量的挥发物,volatiles_diffuse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,弥漫着的挥发物可以在这里找到，其含量足以用于工业提取。,graphics/icons/markets/volatiles_diffuse.png,40
丰富的挥发物,volatiles_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,可以从{$market}中提取出丰富的挥发物。,graphics/icons/markets/volatiles_abundant.png,40
富足的挥发物,volatiles_plentiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market}拥有世界级的挥发物储量，其蕴含的经济价值难以想象。,graphics/icons/markets/volatiles_plentiful.png,40
,,,,,,,
,,,,,,,
微量的有机物,organics_trace,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,虽然可以提取一些，但{$market}的有机物储量依旧少的可怜。,graphics/icons/markets/organics_trace.png,38
少量的有机物,organics_common,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,具备经济价值且可供提取的有机物可在{$market}中发现。,graphics/icons/markets/organics_common.png,38
丰富的有机物,organics_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,财富的河流在{$market}的表面流动-对于那些发现与提取它的人来说。,graphics/icons/markets/organics_abundant.png,38
富足的有机物,organics_plentiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,有价值的有机物从{$market}的深处喷涌而出洒满大地，这些黑暗神秘的喷泉，预示着财富的海洋就在下面。,graphics/icons/markets/organics_plentiful.png,38
,,,,,,,
,,,,,,,
贫瘠的耕地,farmland_poor,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,植物的生长在这里只会发育迟缓且疲惫不堪。只有身怀极高天赋的农民，才能在这些土地里收获一些成果。,graphics/icons/markets/farmland_poor.png,70
充足的耕地,farmland_adequate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market}强大且兼容性较好生物圈，足以让人们在其地表进行农产品种植。,graphics/icons/markets/farmland_adequate.png,70
丰富的耕地,farmland_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market的田野将以大丰收的形式奖励所有在肥沃土地上耕作的农民们。,graphics/icons/markets/farmland_rich.png,70
肥沃的耕地,farmland_bountiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,$market}是名副其实的伊甸园；也是充满鲜花、缤纷、葱郁，阳光和植物的生命乐园，树枝低垂，果实累累，金色的田野在微风中闪闪发光。,graphics/icons/markets/farmland_bountiful.png,70
,,,,,,,
轨道太阳阵列,solar_array,TRUE,,com.fs.starfarer.api.impl.campaign.econ.SolarArray,"这颗行星的轨道上有一排用于调节阳光的恒星盾或恒星镜, 它们被合理安置, 可以使星球地表条件更接近人类宜居的标准.",graphics/icons/markets/solar_shade.png,101
