id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
battlestation_high,作战基地 - 扩展纪元,100,120,,4,orbitalstation_high,starfortress_high,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_hightech_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"增建了一处攻守兼备的火力平台以及防御卓越的装甲平台. 

它的存在将阻止任何轰炸行动的发生.",2080,
starfortress_high,星际要塞 - 扩展纪元,200,180,,5,battlestation_high,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_hightech_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"配备强大的{石像鬼-级}无人机并给部分平台内置了传送感应空雷战术系统. 

它的存在将阻止任何轰炸行动的发生.",2090,
grounddefenses,地面防御设施,30,60,,2,,heavybatteries,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ground_defenses.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"由小型隐蔽式武器所组成的一种分散的,}半自动火炮阵地.}能让敌方一些小规模的突袭与轰炸行动的成本变得更加昂贵.}只有压倒性的轨道轰炸或大规模的突袭舰队才能压制这些地面设施. ",2200,
heavybatteries,重型防御阵列,60,90,,3,grounddefenses,,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/heavy_batteries.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"利用密集的重型防空火炮来替代分散的小型隐蔽式火炮.}这些反舰巨炮所具备的强大火力,}可让敌方对地行动变得异常困难,}因为没有任何星舰船长会愚蠢到将舰队暴露在它们的射程范围内. ",2300,
patrolhq,巡逻队总部,60,60,,8,,militarybase,"patrol, unraidable, tactical_bombardment, structure",,graphics/icons/industry/patrol_hq.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"配备了必要的机库、维修站、指挥/控制中心,}陆战队军营以及对整片星系投射部队所需的后勤部.}一旦建立完毕,}军事化的巡逻队将积极追捕海盗并保护友军商队. ",2400,
militarybase,军事基地,90,120,,10,patrolhq,highcommand,"military, unraidable, tactical_bombardment, industry",,graphics/icons/industry/military_base.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"这些设施足以让星系间的力量投射成为可能,}因为任何一次军事计划不仅意味着一项大规模的后勤行动,}同时也需要数十艘甚至数百艘的星舰以及数千名军官,}无数船员与陆战队的协调运作. ",2500,
highcommand,最高指挥部,30,120,,14,militarybase,,"command, unraidable, tactical_bombardment, industry",,graphics/icons/industry/high_command.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"任何跨星系帝国的建立都离不开一群特殊的高级军官与官僚们的帮助.}他们不仅掌控着整个星系资源的管辖权力,}还能下达最高命令来号令所属势力发动席卷整片星域的滔天战火. ",2600,
lionsguard,狮心守卫总部,90,60,,6,,,"military, unraidable, tactical_bombardment, structure",,graphics/icons/industry/lions_guard.png,com.fs.starfarer.api.impl.campaign.econ.impl.LionsGuardHQ,"Phillip}的私人卫队总部.}""辛达瑞亚之狮""号称拥有大批一流军官,}且配备了时下所能够买到的最好装备.}而卫队所表现出的狂热忠诚是通过一种高额津贴与奖励制度来维持的,}这种制度不仅能提高卫队作战水准,}还能将执行常规军事行动的部队隔离开来. ",2650,
planetaryshield,行星护盾,150,90,,3,,,"grounddefenses, structure",,graphics/icons/industry/planetary_shield.png,com.fs.starfarer.api.impl.campaign.econ.impl.PlanetaryShield,"由一种带电等离子体包络而成,}其内含的奇异虚拟粒子不仅能有效抵御轨道轰炸还能阻止小型舰队的突袭行动.}由于行星护盾是被一种庞大的中央能源塔所控制并提供持续充能,}因此对于任何形式的地面攻击都是一种巨大障碍. ",2700,EXTREME
waystation,星际驿站,20,60,,2,,,"waystation, structure",,graphics/icons/industry/waystation.png,com.fs.starfarer.api.impl.campaign.econ.impl.Waystation,为星际舰队提供补给/维修服务的中途站.}可小幅增加殖民地的流通性. ,155,MEDIUM
cryosanctum,寒冰圣地,150,90,,5,,,"cryosanctum, structure",,graphics/icons/industry/cryosanctum.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryosanctum,"一座巨大如墓穴般的建筑,}用来储存为度过这次危机而冒险选择冷冻睡眠的人们,}有可能的话,}他们将在一个更文明的时代醒来.}与维护设施,}大规模自动安全系统以及反舰炮相比,}冷冻舱的体积简直微不足道,}而这一切都被安置在地下一个四通八达如迷宫般的堡垒内. ",3000,EXTREME
,,,,,,,,,,,,,,
cryorevival,低温复苏设施,60,60,,5,,,"cryorevival, structure",,graphics/icons/industry/cryorevival.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryorevival,一处为}人之领}时代的低温睡眠者提供复苏与同化的重要设施.}大幅度提高人口增长率. ,3200,MEDIUM
