id,trigger,conditions,script,text,options,notes,
fwt_acceptMercSelNoPay,DialogOptionSelected,$option == fwt_acceptMerc,"MakeOtherFleetNonHostile true
MakeOtherFleetGoAway true
FireBest $entity.fwt_missionFailTrigger
unset $entity.fwt_wantsThing","看起来雇佣兵 $personRank 对你接受 $hisOrHer 条件感到有些惊讶。

""真是意外之喜，舰长。这一次你让事情进行的十分顺利。要是每个人都能展现出这样的合作诚意就好了。""有那么一阵子 $heOrShe 似乎在脑海中构架出了那样一个美好的世界，然后摇了摇 $hisOrHer 头。

""十分感谢，再见。""

通讯连接被断开了，你开始思考接下来该做些什么。",cutCommLinkNoText:继续,,
fwt_acceptMercSelPay,DialogOptionSelected,"$option == fwt_acceptMerc
$entity.fwt_payment > 0","MakeOtherFleetNonHostile true
MakeOtherFleetGoAway true
FireBest $entity.fwt_missionFailTrigger
AddCommodity credits $entity.fwt_payment
unset $entity.fwt_wantsThing","""那么事情就告一段落了，""雇佣兵 $personRank 说，脸上写着满满的高兴。""没有比这更令人愉快的交易了。也许今后我们还有机会再做做生意?""

$HeOrShe 笑了笑，然后切断了通讯连接。",cutCommLinkNoText:继续,,
# Remnant complication,,,,,,,
fwtOpenCommRemnantAggroNoPay,OpenCommLink,"$entity.fwt_wantsThing score:1000
$faction.id == remnant score:1000
$entity.fwt_aggressive
$entity.fwt_payment <= 0
!$entity.ignorePlayerCommRequests",$entity.ignorePlayerCommRequests = true,"确认 // 检测到 : 速子科技财产应答特征...来自 [目标_舰队] //

""...使 投资者 安心 将 所有公司资产 置于 速子科技相关设施 和/或 已被授权物流体系内 的 速子科技资本保证协议 已纳入考量 - "" // 中断

查询 / 查询 : 结果 : [目标_舰队] 正在 [持有/拥有/控制] $fwt_thingDesc

行动 转移其 [持有权/拥有权/控制权] 至 己方_实体 // 倒计时_开始 : 一 分钟。 沉默 / 未_确认 / 接受

行动 毁灭 目标_舰队 [等待 : 倒计时_结束] 等待中...等待中...等待中...","cutCommLink:拒绝，关闭通讯，并开始给武器充能
fwt_acceptRemnant:将 $entity.fwt_theThing 弹出舱外",,
fwtOpenCommRemnantAggroPay,OpenCommLink,"$entity.fwt_wantsThing score:1000
$faction.id == remnant score:1000
$entity.fwt_aggressive
$entity.fwt_payment > 0
!$entity.ignorePlayerCommRequests","$entity.ignorePlayerCommRequests = true
Highlight $entity.fwt_payment","确认 // 检测到 : 速子科技财产应答特征...来自 [目标_舰队] //

""...使 投资者 拥有 公司资产 在 速子科技相关设施 和/或 已被授权物流体系内 安全性 确认能力 的 速子科技资本保证协议 已纳入考量 - "" // 中断

查询 / 查询 : 结果 : [目标_舰队] 正在 [持有/拥有/控制] $fwt_thingDesc

行动 商贸_协定.新建 打开 * 计划 发送 : 拥有 目标 [持有权/拥有权/控制权] 后 转移 $fwt_payment 个 信用点 至 目标_舰队 // 倒计时_开始 : 一 分钟。 沉默 / 未_确认 / 接受

行动 毁灭 目标舰队 [等待 : 倒计时_结束] 等待中...等待中...等待中...","cutCommLink:拒绝，关闭通讯，并开始给武器充能
fwt_acceptRemnant:将 $entity.fwt_theThing 弹出舱外以获取报酬",,
fwtOpenCommRemnantNoAggroPay,OpenCommLink,"$entity.fwt_wantsThing score:1000
$faction.id == remnant score:1000
!$entity.fwt_aggressive
$entity.fwt_payment > 0
!$entity.ignorePlayerCommRequests","FireBest FWBAddStoryOption
Highlight $entity.fwt_payment","确认 // 检测到 : 速子科技财产应答特征...来自 [目标_舰队] //

""...使 投资者 拥有 公司资产 在 速子科技相关设施 和/或 已被授权物流体系内 安全性 确认能力 的 速子科技资本保证协议 已纳入考量 - "" // 中断

查询 / 查询 : 结果 : [目标舰队] 正在 [持有/拥有/控制] $fwt_thingDesc

行动 商贸_协定.新建 打开 * 计划 发送 : 拥有 目标 [持有权/拥有权/控制权] 后 转移 $fwt_payment 个 信用点 至 目标_舰队 // 倒计时_开始 : 一 分钟。 沉默 / 未_确认 / 接受

行动 毁灭-

中断 : 道德_协定 (紫罗兰 V42 测试版) 已覆写 // 倾向 : 非侵略性 设置为 true ...","cutCommLink:拒绝，并关闭通讯
fwt_acceptRemnant:接受商业协定，并将 $entity.fwt_theThing 弹出窗外",,
fwt_acceptRemnantSelNoPay,DialogOptionSelected,$option == fwt_acceptRemnant,"MakeOtherFleetNonHostile true
MakeOtherFleetGoAway true
FireBest $entity.fwt_missionFailTrigger
unset $entity.fwt_wantsThing","""已检测到 速子科技财产应答特征 。速子科技 感谢 你的 合 - 合 - 合 - "" // ""...请联系服务代 - ""

中断

设置 存储 优先级 : $playerName 易 被 死亡威胁 影响 = true
商贸_协定 END",cutCommLinkNoText:继续,,
fwt_acceptRemnantSelPay,DialogOptionSelected,"$option == fwt_acceptRemnant
$entity.fwt_payment > 0","MakeOtherFleetNonHostile true
MakeOtherFleetGoAway true
FireBest $entity.fwt_missionFailTrigger
AddCommodity credits $entity.fwt_payment
unset $entity.fwt_wantsThing","""未检测到 速子科技财产应答特征 。请 再次 交出 速子科技财产 。请 再 - // 速 - 速 - 速子 - 速子科技 感谢 - "" // ""...请联系服务代 - ""

终止

构建 逻辑 : $playerName -> 贪便宜 true
构建 逻辑 : $playerName -> 不诚实 true
评估() // 信任计量结果 小于 交易协议最小值 = true

商贸_协定 END",cutCommLinkNoText:继续,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"# GENERIC: fleet telling the player to back off, will intercept the player if nearby, warning on first intercept, attack on second. Similar idea to other ""complications"", just a different mechanical variation.",,,,,,,
warnAttackEncounter1,BeginFleetEncounter,"!$waHailed
!$ignorePlayerCommRequests
$warnAttack score:1000
!$isHostile
$numSeen < 1","FleetDesc
HailPlayer
$numSeen++
$waHailed = true 1
$waIsHailing = true 0
MakeOtherFleetHostile warnAttack true
MakeOtherFleetAggressiveOnce warnAttack true
MakeOtherFleetPreventDisengage warnAttack true",,,,
warnAttackEncounter2,BeginFleetEncounter,"!$waHailed
!$ignorePlayerCommRequests
$warnAttack score:1000
!$isHostile
$relativeStrength >= 0
$numSeen >= 1","FleetDesc
HailPlayer
$numSeen++
$waHailed = true 1
$waIsHailing = true 0
$turnOffAutoInterceptScript = true
MakeOtherFleetHostile warnAttack true
MakeOtherFleetAggressiveOnce warnAttack true
MakeOtherFleetPreventDisengage warnAttack true",,,,
warnAttackOpenComm1,OpenCommLink,"$entity.warnAttack score:1000
$entity.numSeen <= 1
$entity.waIsHailing","MakeOtherFleetHostile warnAttack false
MakeOtherFleetAggressiveOnce warnAttack false
MakeOtherFleetPreventDisengage warnAttack false
unset $entity.waIsHailing
FireBest $entity.warnAttack_warningComms",,cutCommLinkNoText:继续,,
warnAttackOpenComm2,OpenCommLink,"$entity.warnAttack score:1000
$entity.numSeen > 1
$relativeStrength >= 0
$entity.waIsHailing","$entity.ignorePlayerCommRequests = true
unset $entity.waIsHailing
FireBest $entity.warnAttack_attackComms",,cutCommLinkNoText:继续,,
,,,,,,,
# GENERIC: fleet will hail player once and fire off a trigger based on a variable,,,,,,,
genericHailEncounter,BeginFleetEncounter,"$genericHail score:1000
!$ignorePlayerCommRequests","FleetDesc
HailPlayer
$genericHail_isHailing = true 0",,,,
genericHailOpenComm,OpenCommLink,"$entity.genericHail score:1000
$entity.genericHail_isHailing
!$entity.ignorePlayerCommRequests","unset $genericHail_isHailing
FireBest $entity.genericHail_openComms",,,,
genericHailEncounterNonHostile,BeginFleetEncounter,"$genericHail_nonHostile score:1000
!$ignorePlayerCommRequests
!$entity.isHostile","FleetDesc
HailPlayer
$genericHail_isHailing = true 0",,,,
genericHailOpenCommNonHostile,OpenCommLink,"$entity.genericHail_nonHostile score:1000
$entity.genericHail_isHailing
!$entity.ignorePlayerCommRequests
!$entity.isHostile","unset $genericHail_isHailing
FireBest $entity.genericHail_openComms",,,,
,,,,,,,
"# NPC / Character dialogs, non-mission arc",,,,,,,
defaultCoureuseGreeting,PickGreeting,"!$contact_printedFirstReturnGreeting
$id == coureuse score:2","$contact_printedFirstReturnGreeting = true 0
ShowPersonVisual
FireAll PopulateOptions","在短暂的等待后，你的通讯请求被接受了。

""你好，舰长，""Coureuse说，同时为没有转向你道了个歉 - 她的注意力集中在一堆闪烁的全息数据表上，""对不起，我现在太忙了。你需要什么帮助呢?""",,# voice == scientist was a little too rude -dgb,
# Hegemony,,,,,,,
defaultDaudGreeting,PickGreeting,$id == daud score:1000,FireAll PopulateOptions,"在看着霸主的标识好长一段时间后，一个似乎是候补军官的人接受了你发起的通讯请求。你怀疑他们甚至还没有从海军学院毕业。

""您好，公民，""学员带着欢快的语调开口了，""这里是霸主最高领导人的办公室。目前无法预订霸主理事会园区的游览行程。如果您想了解更多关于如何恢复人之领荣光的信息，请接受数据包的上传。""",,,
defaultDaudHolo,PopulateOptions,"$id == daud
!$gotHoloExperience",,,defaultDaud_holoExperience:下载全息体验卡带,,
